screen_name,name,description,category,count
Drake,Drizzy,Views From The 6,person,38229
intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",brand,37978
shakira,Shakira,#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/oEZtqqavxC,person,37653
TheDeeKosh,Dee Kosh,i talk on the radio @Power98. I talk on YouTube. In a loving long term relationship with Fried Chicken Contact : deekosh@gmail.com,person,37611
UNICEF,UNICEF,"UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.",other,37562
IBGDRGN,G-DRAGON,�� ONE AND ONLY GD �� http://t.co/94cfAZzmy9｜http://t.co/YepKJotLhA｜http://t.co/z4O2zgQL5q｜instagram:XXXIBGDRGN | http://t.co/Txk7haRyAV,person,37378
TravelLeisure,Travel + Leisure,"Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1",travel,37288
arrahman,A.R.Rahman,Grammy and Academy Award winning musician,person,37131
KendallJenner,Kendall,Model - The Society Management // Elite Paris // Elite London // Elite Milan,person,36951
FinancialTimes,Financial Times,"Headlines from the FT. Follow us on @FT for news stories, features and updates. Our customer service team is @FTcare.",news,36910
FoxNews,Fox News,"America's Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",news,36892
gmail,Gmail,"News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum.",brand,36458
MileyCyrus,Miley Ray Cyrus,Miley Cyrus & Her Dead Petz out now fo freeeeeee mothaaaa fuckazzz!,person,36431
ChampionsLeague,Champions League,The official home of the UEFA Champions League on Twitter.     Spanish account: @LigadeCampeones U19: @UEFAYouthLeague,sports,36056
travelchannel,Travel Channel,The official Twitter account of Travel Channel (US). Follow us to talk about all things travel!,travel,35641
AirAsiaId,AirAsia Indonesia,"Maskapai penerbangan berbiaya hemat dan inovatif. 
untuk segala pertanyaan/complaint silakan langsung mention @askairasia",airline,35158
business,Bloomberg,The first word in business news.,news,35132
smrtsg,SMRT Feedback,Singapore's Social Media Badass.,person,35083
KevinHart4real,Kevin Hart,My name is Kevin Hart and I WORK HARD!!! That pretty much sums me up!!! Everybody Wants To Be Famous But Nobody Wants To Do The Work,,34917
KylieJenner,Kylie Jenner,https://t.co/xpTyiQavPr https://t.co/ExGKy1KFmO,person,34903
Starbucks,Starbucks Coffee,"Inspiring and nurturing the human spirit��one person, one cup, one neighborhood at a time.",brand,34804
Pink,P!nk,it's all happening,person,34768
imVkohli,Virat Kohli,"The Official twitter account of Virat Kohli, Indian cricketer,gamer,car lover,loves soccer and an enthusiast",person,34765
billclinton,Bill Clinton,"Founder, Clinton Foundation and 42nd President of the United States. Follow @clintonfdn fo more on my work around the world.",person,34723
mashable,Mashable,"News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.",news,34665
IndonesiaGaruda,Garuda Indonesia,"The Airline Of Indonesia | 24 hours Call Center 08041807807, +622123519999 | sosialmedia@garuda-indonesia.com |Facebook https://t.co/c2c2QMoNGf",airline,34651
hootsuite,Hootsuite,Social media news and tips from the world's most widely used social relationship platform. Sign up for free: http://t.co/Zmrb0hY23s Support: @Hootsuite_Help,news,34567
juniorbachchan,Abhishek Bachchan,"Actor, sports fan.... Yup, that's about it.",person,34271
USAirways,US Airways,,airline,34104
TheRealRyanHiga,Ryan Higa,That asian on youtube #higaholics New #TEEHEE app here: iPhone: http://t.co/YJn1KuC9bQ Android: http://t.co/0LokdFMnO6,person,34102
