"Date","Title","Rating","Content","Source"
2016-08-14,"hard product and soft product are very impressive",10,"There's a simple reason why Singapore Airlines is always rated amongst the very top airlines in the world. They're excellent. Both their hard product and soft product are very impressive and consistent which is not easy to achieve. This 17.5 hour flight from Singapore to San Francisco (via Hong Kong) is absolutely heavenly. The 777-300ER has the next gen First Class cabin which is noticeably different from the previous first class. The leather is firmer, the design more fresh with subtle colour adjustments and the seat has many new compartments to store all your onboard 'necesseties'. The IFE has also been completely revamped with a great new remote system which is very intuitive and easy to use. Love that you can now quickly rate movies that you watch. The dining is amazing. As if I was sitting in a fine restaurant in town. I love ordering via Book the Cook for I can specifically choose my meals for every part of the flight. Excellent job SQ.","Skytrax"
2016-08-13,"it is completely inconsistent",8,"Although the service and food were excellent on this short, less than two hour flight from Bangkok to Singapore, the plane was the very old 777-200, with the very old business class. The recline chairs upholstered in the dated blueish-purple fabrics. I think Singapore Airlines has only three of these left. I hope SQ gets rid of these planes soon for it is completely inconsistent with their other excellent equipment.","Skytrax"
2016-08-12,"The service was excellent",7,"New Delhi to Denpasar via Singapore on business class on Velocity Points Redemption. SQ did not offer A380 business class seats for our travel dates from Delhi. Flight timings were convenient as the flight happened throughout the day bringing passengers into Bali via Singapore by late evening. The service was excellent, barring a negative moment on the SIN-DPS sector. Ground staff in New Delhi were kind to allow me to hand in a package to my driver which I was careless about. They collected it at the gate and made proper inquiries with me before agreeing to handover the envelope to my driver who came to collect it later. SilverKris Lounge in DEL was average in terms or service or offer and reflected the usual attributes of airlines offering mediocre service at Indian airports. Due to Indian regulations no champagne is served on boarding Business Class in India. Flight attendants were friendly and the business class product had no concerns. In-flight entertainment options aren't as large as Emirates, but had an eclectic selection of movies to select from. From SIN-DPS, we encountered a scenario which left a sour taste of the experience. The offered menu had an option of beef. Living in India good beef is hard to come across, so the plan was to indulge in beef on the way to DPS, since beef options were not available on the DEL-SIN sector. On requesting for a beef dish, I was advised that they had run out of beef and was offered the option of chicken or seafood. No apologies or offers to check if an economy meal was available. My partner chose not to have a meal since he wasn't keen on the seafood or the chicken. At this point three members of the cabin crew apologised profusely to him and assured him that they would do anything possible to make things better. At this point my partner asked the crew why the same apologies or service recovery efforts were not made with me, and the crew member simply mentioned, 'I'm sorry but we weren't aware that you were travelling together!' They tried to make up for the error by plying us with drinks and making multiple trips to the seat to inquire of our well-being.","Skytrax"
2016-08-10,"I'd still prefer Emirates",6,"Brisbane to Beijing via Singapore. I'd never flown Singapore Airlines before and was looking forward to it. The FAs were attentive on both sectors (BNE/SIN and SIN/PEK) and the food was nice. That's about it. The IFE on both sectors was well-stocked but I found it difficult to hear because it was crackling and kept starting/stopping. Most of the Singapore Airlines reviews must be for business class. I'd still prefer Emirates over Singapore Airlines having now given them a go.","Skytrax"
2016-08-09,"SIA still sets the standard",9,"Auckland to Singapore. Very good overall, with the usual attentive and friendly service by cabin crew combined with, on this 2-year old plane, a very comfortable seat - helped by SIA only having 9-abreast seating on the Boeing 777-300ER. Seat back screen (Panasonic) was very generously sized and gave a clear picture, but the instructions were far from intuitive. Even with good headphones, film dialogue was often hard to follow, but after trawling through the buttons trying to select a sub-title option to compensate I gave up and called for cabin crew help. The steward took several minutes to find the magic button, but was himself too confused to explain how he'd found his way to it. That apart, the entertainment selection was extensive and even when the passenger in front reclined her seat the TV screen tilted enough to enable comfortable viewing. SIA still sets the standard for long-haul economy.","Skytrax"
2016-08-05,"it is well worth it",9,"Flew Manchester to Singapore via Munich. Left Manchester on a Boeing 777-300ER, the aircraft was new. I have not been with Singapore Airlines for a while, the service was very good, the flight attendants were friendly especially from Munich and the food was plentiful and very tasty. The inflight entertainment was very good. All round you pay a bit more for Singapore Airlines but it is well worth it.","Skytrax"
2016-08-05,"efficient but impersonal",8,"We flew out premium economy and back economy from Johannesburg to Kuala Lumpur via Changi. I haven't flown with Singapore Airlines for about 10 years so was expecting a very pleasant flight. The aircraft was brand new and it all looked good and it was except for the attendants. I can't really put my finger on it other than it was impersonal, efficient but impersonal. They seemed to be in an awful rush to get us fed and watered and turn the lights off. You didn't see them after that at all and we were in premium economy on the way out. On the way back the flight left at 2am and after hanging around in the airport I was hoping for some good food. However it was not too be ! A sandwich was it ! You could ask for snacks but who wants crisps at 3am ? I felt rather disappointed","Skytrax"
2016-08-01,"service was less friendly or warm",6,"I flew Singapore to Jakarta on 28 June. It was an early morning flight. The cabin crew was professional and working hard on this flight to get the meal service underway and completed despite the short flight duration. The seat felt a little cramped. The food was a slight disappointment and the service was less friendly or warm than what has to come to be expected of such a premium airline. Having said that, the crew was careful in ensuring that the pre-arrival checks are properly carried out (seat belts secured, etc) and that the safety of the passengers are paramount as should be the case.","Skytrax"
2016-07-31,"I felt dissatisfied and disappointed",4,"Flew Sydney to Amsterdam, returning from Paris to Sydney, both via Singapore in July. I had researched Premium Economy with SIA. The flight on A380 tended to be more comfortable with more room. Boarding in Sydney was chaotic and confusing. The A350 seat to Amsterdam was very uncomfortable (front row) and the foot rest was redundant - I am 188 cm tall and this seat is not designed for my build by any means. Service was generally good but not up to the marketing hype. Only offered champagne once on each leg despite the way it is marketed and if I wanted more if was begrudgingly offered. Food (Book the Cook) was okay. Considering cost and advertising this as a premium cabin, there was no sense of privacy or a little bit more exclusivity because rarely, if ever, were dividing curtains or wall dividers closed. This was more for the convenience of FA who were moving between Premium and Economy with food trolleys, etc. Many Economy pax took the opportunity to wander through cabin, especially when nursing crying babies. Also, noise, especially many screaming babies were immediately behind my rear row seat in A380 flights - very noisy (even with noise cancelling headphones). Certainly there was more room and a little more comfort but at what cost - I don't feel it was anywhere near value for money. My biggest concern and complaint, which I made to FA, and even to SIA customer service, on CDG to SIN flight (July 15), was when parents left their two boys in Premium Economy while they took themselves off to Business class. They did check a few times but basically the two boys were left to their own devices. I had to stop them from damaging the lights, the window shutters, clambering over their seats, especially the young boy of 4-5 years. The FA cannot be expected to keep an eye on two young boys and neither should passengers. In this day and age, this is a big concern. Anything could have happened to the boys. What if there was an emergency - who would look after them? They became very restless and eventually I complained to FA but nothing was done. The parents were inconsiderate, selfish and irresponsible. Singapore Airlines were disrespectful of other paying pax. As a passenger, why should anyone's flight be disrupted and stressful due to others' selfishness as in this case? This is not about whatever class your in; airlines must stop parents from abandoning their children like this for everyone's sake. Also, if anything happened to the children, who is liable - the other passengers? the airline? Would I fly SIA Premium Economy again - I seriously doubt it. It has potential but if they don't deliver on their marketing promises, I will fly other airlines who do. Also it is disappointing that they cannot even respond to a written complaint. If you over-promise and under deliver consistently, you have dissatisfied customers. This was over 4 flights and I felt dissatisfied and disappointed overall.","Skytrax"
2016-07-30,"frequent drinks brought around",9,"Barcelona to Sao Paulo. First flight with Singapore Airlines and I was interested to see if travelling with Singapore would be substantially different to the experiences I had with AA/BA.  I flew economy but the service in economy with Singapore Airlines was equal to that in business class on AA. The Boeing 777 has a 3-3-3 layout so a bit more spacious for those in economy. We had the bassinet seats at the front as I was travelling with my wife and 3 month old daughter. Food was great, frequent drinks brought around as were snacks and fruit. In flight entertainment great.","Skytrax"
2016-07-30,"service  is anything but premium",4,"Not so much (if at all) Premium. I flew with Singapore Airlines from Singapore to Melbourne (29/07/2016) in Premium Economy as part of a return trip to Colombo. This was my first time flying Premium Economy with Singapore Airlines, though I have flown it before with another large Asian carrier (which was a good experience). I usually fly economy with my partner for holidays and business class for work trips, so have some sense of the competition and product on offer. I'm also tall (194cm) and fairly broad which can make fitting into standard economy seats a squeeze. I had read a few reviews before the flight (all positive) about the new Premium Economy offering from Singapore Airlines and was interested to see for myself. The boarding at Changi was surprisingly disorganised and something of a circus. There was also some delays with take off which appeared to put the staff into such a fluster they forgot to give us menus or the standard amenity pack. The seats in Premium Economy look modern and fancy but are surprisingly uncomfortable for tall people. While they provide a bit more leg room and recline it is hard to make much use of this in a comfortable manner, and forget about getting much sleep. The foot rest offers nothing other than an annoyance and a reduction of leg room. The staff were (on the positive side) not rude but generally unhelpful, unfriendly, looked bored and appeared to go out of their way to not offer anything that might be perceived as an extra (eg. another glass of wine, a second cup of coffee, authentic hospitality etc). The main meal was very small and surprisingly un-tasty. The snack before landing was meant to be chicken fried rice but I struggled within the minuscule dish to find anything other than white rice and a couple of bits of carrot. The meals were so small and mean I was starving by the end of the 7.5 hour flight. The wine/champagne (if you're very lucky you can get one glass) they serve in a plastic tumbler (unlike the ad). The staff also have a habit of leaving you locked in with your empty meal tray for about an hour, which I can only imagine is a crowd control exercise. The entertainment system was good with a reasonable range of titles though annoying compulsory ads at the start of each viewing. It has an bad habit of switching itself on while you are trying to sleep as the controls are right where your knee pushes into the side of the seat. Overall, Singapore PE appeared to me to be a very average Economy with a slightly fancier looking seat, though not one that is well designed or practical for taller people. The service is anything but premium, in fact I've had better service in standard economy for a whole lot less dollars. My experience was nothing like the reviews I have read.","Skytrax"
2016-07-28,"an above average business class",8,"Manila - Denpasar via Singapore. Out of MNL via a very, very old B772ER with the very, very old recliner seats with pull out screens in a 2-3-2 configuration. Singapore Airlines should retire or refit this plane soon. I don't think it's fair that they charge premium price for such an aged regional bird. Despite the trademark efficient, if not cold, SQ style service and tasty in-flight catering, very little can justify premium SQ pricing. The recliners are not a big issue on the short 3.5 hour flight and can actually be quite comfortable for a quick snooze after the meal service, but the screen is prone to glare, and my wife's screen was just malfunctioning the whole trip, making her experience not much different from a recent J class experience on a shorter MNL-HKG trip on PR with no IFE save for borrowed iPads. There wasn't the standard stowage space you'd expect from more modern J class products, but the toilets were clean and the amenities plentiful. So disappointed on this leg. Onward journey from SIN to DPS on a more modern A330 with angled-lie flat seats and a 15 inch seatback IFE AVOD system. Better product with more stowage areas. Service was half a degree warmer than the crew's from the MNL leg, but still a bit robotic for me. Got the nasi lemak via Book the Cook for breakfast and was quite a tasty offering. Less drink runs this time, but it's a shorter flight. All in all, an above average business class experience, but SQ needs to up its game a bit more for the price they charge.","Skytrax"
2016-07-25,"it is an average experience",5,"Bangkok to Singapore. My IFE unit screen was not working as the screen went fuzzy and shaky when turned on. The FA tried to restart my system but it did not fix it. As no other seat was available, I was struck with no movie entertainment except for the music for the whole flight. Crew on this flight of the Singapore Airlines standard. They did the usual greeting when boarding, pre-flight drink and hot towel. Hot Towel is something not many airlines offer. Bangkok is not one of the country where you can book the cook, but the foods were not too bad with a Thai dessert on the tray. The cabin is clean even though this is relatively old plane. That might explain why the guy 2 rows in front of me also has the same problem with the IFE unit. Overall, it is an average experience.","Skytrax"
2016-07-24,"enjoyed our business class experience",10,"First time we flew Singapore Airlines Business Class from Singapore to Sydney and return. Outbound boarding was on time. But soon after pushed back, the aircraft returned to its parking position due to electrical problem, resulting in one hour delay. Upon took-off all passengers who sat in business class asked the cabin crew to convert our seats to bed mode because it was an after midnight flight. We slept for about 5 hours and were woken up by the FA for breakfast, whereas our daughter was left sleep until half an hour before landing in Sydney. The meals were tasty and glasses were filled up frequently. FA were friendly, except one stewardess looked not so interested in serving us. We landed in Sydney only 20 minutes behind schedule. Inbound flight : Check in process went very fast and served by a friendly ground staff. Boarding was also on time. The cabin crew were friendlier compared with their compatriots in our outbound flight. However, we couldn't sleep/rest due to turbulence weather which we experienced almost the entire journey. All in all we really enjoyed our business class experience with Singapore Airlines.","Skytrax"
2016-07-24,"know how to pamper their passengers",10,"Sydney to Bangkok via Singapore with Singapore Airlines. Boarding SQ212 was a breeze after having a cuppa at the lounge. Boarding was fast and FA's greeted everyone by the family name. Pre takeoff drinks was served when we were settled down. Flight was smooth and food was yummy as I preordered under ""My cook"". Wine was offered throughout the meal service. Entertainment is good and the seat even though it is not the latest biz class seat but it is good size. Landed on Singapore on time. For those that transit in Singapore via Singapore Airlines, don't forget to claim your Changi Voucher of S$20 for general retailer and S$20 for liquor, tobacco per passenger. That's S$40 off liquor if you buy in the airport Duty Free Shopping. Singapore Silverkris Lounge is great. I like the space and the food. Love the TWG Tea selection - Singapore Airlines really know how to pamper their passengers. We freshened ourselves up and had coffee and snack before time to board our connecting to BKK. This A333 was a old bird but still in working condition. The FA was really thoughtful to offer cold towel when my partner jokingly mentioned towel should be cold in the reallty warm cabin while she was giving out hot towel. The temperature quickly came down when we were at cruising height. The food out from Singapore on Singapore Airlines is so much better. Flight was delayed a little due to air traffic in Bangkok. Overall, I love the Singapore Airlines Biz Class .","Skytrax"
2016-07-22,"inflight service was terrible",4,"Travelled from New Delhi to Manila via Singapore. The ground crew did not mention anything about the flight delay and did not bother to ask if we had a preferred schedule for our connecting flight. The inflight service was terrible. I asked for earphones from three different flight attendants but was only given one when I typed my request on my iPad. The food was nothing spectacular. The ground crew on my flight from Singapore to Delhi insisted that I have my backpack checked in and argued that it was too big. I have used the same bag on my flights with KLM and Emirates and they allowed me to carry it inflight. I have high regards before with this airline but sadly their service has gone downhill.","Skytrax"
2016-07-20,"at last someone listened",9,"Had such a great experience on SQ278 yesterday from ADL to SIN. At last someone listened. As I have allergies I have been given the same chicken breast with carrots etc. After hearing that I have been bringing my own food on board to eat. This crew made their own version of cup noodles with chicken plus they had mushroom soup for me because I mentioned about NZ and CX flights where they made protein shake and chicken soup for me (not on the menu). It's these small little things that can make one happy. Thank you Singapore Airlines. Wish they had wi-fi on board.","Skytrax"
2016-07-18,"disappointed at inflight service",3,"Check in at Melbourne Airport was efficient. Terribly disappointed at the inflight service, quality and quantity of food offered (and I don't have a large appetite) plus the age of the aircrafts. SQ tickets are not cheap and not having travelled with SQ in a while, I was so looking forward to my flight given the inflight service reputation which in my opinion has gone to the ""dogs"".  Aircraft was old and used my wet towel to clean the tray table and mess. No bar service - just a round of juice, beer and sparkling wine before the meal, which was a beyond belief. Hot casserole and bread and nothing else - not even salad or dessert. Asked the steward for bottle water and was told they only offered tank water.  I said I don't drink tank water and he brought me a small bottle from BC. Breakfast was a terrible meal too. On the return one round of Bar service provided this time. Same story with bottle water request and cabin staff brought me a few extra sealed cups of water off other pax trays.  Again, horrible breakfast with a hard cold muffin and a poor fruit salad. Seats were small and cramped. ","Skytrax"
2016-07-18,"not be using them in the future",3,"Perth to Zurich return via Singapore. I booked my flight through a flight partner (Virgin Australia) and before this trip I didn't know how flight partners worked, all it did was give me a headache. I wanted to book in my seats, normally you can do that online, however I was unable to do so either through Virgin's website nor through Singapore Airline's. I called Virgin and they told me I need to speak with Singapore. I called Singapore and requested seats. That worked fine. However on the flight over I didn't realise that sitting right at the back was so noisy, I wore earplugs the whole flight and could still hear the noise, but that was fine, I learned my lesson, but when breakfast came, I was the very last person to be served they ran out of the edible meals and the other meal was some kind of fish (which smelled too strong for a confined space). I normally am one to enjoy all kinds of basic airplane food and am really not fussy, but this was too much. Fish for breakfast? I actually was really unhappy because I never got a choice. Knowing all of this, I decided to change my flight home seat booking, so I wasn't the last person on the plane right down the back near all the noise. I emailed Singapore airlines with the request as soon as I landed. It took a couple weeks until they responded with a stock email saying I need to contact Virgin. I emailed back saying Virgin cannot do this as they dont have access to the seating plan, it is Singapore's job and I know as I have done it before. The email response that returned was the same stock email as they had sent again. This time I was really angry and re-iterated that they should please read the content of my email. Third time and I received the same exact response again. This was now 1 month after my original request (lucky I was away for 6 weeks). I had to find a way to call them while overseas (which was a who other headache) because this was not being resolved online. So I called them and had a very long difficult conversation trying to get the guy to help me as he really wasn't actually listening to what I needed and I was getting frustrated. He finally put in the request for me to get the seats changed and when I told him about the food last time he said he could also request a no seafood meal. So I thought great, I'll do that. On my flight home, the seats were all good but this time I discovered that requesting a non seafood meal means that they dont give you any option at all whatsoever, you just get the eggs, even when the meals being served are chicken or beef with no seafood options! When I asked if I get to choose the normal menu as it already is non seafood, I got an abrupt response about taking the meal from someone else. Gosh I had no idea about all this rubbish. So I learned a lot of things this flight. That Singapore Airlines have terrible online support and rubbish food and no matter what I did it didn't get better. I hear all these great things about Singapore Airlines and its probably fine if things are going ok for you but when they go wrong, they dont help you, not without a lot of effort and frustration any way. I will not be using them if I can help it, in the future. FYI I was going to make a complaint to them on their own site but after going through all I did with their online support last time I feel like its pointless and I am probably wasting my time as no one reads the emails (I can assume).","Skytrax"
2016-07-17,"not as good as I expected",6,"London to Melbourne via Singapore. In general, the boarding process and on-board service was very good, with most flight attendants being amiable and chatty. The food was good too, apart from a very ordinary entree leaving London. However, both flights were marred by very noisy children. On the first sector (on the very quiet A380) I was in the front cabin which offers a more intimate setting. A small baby cried almost all of the trip despite attempts by his parents to pacify him. So a decent sleep was impossible. Even the supplied noise-cancelling headsets could not eliminate all of the noise, and anyway they produced a constant repetitive buzzing noise. I fully support family travel and do feel for parents who have to deal with distressed children but surely SIA could arrange for a quiet area for travellers. The sector to Melbourne was worse. I was seated in the front row of the small front cabin - with 2 rows of seats and no bassinet places. Behind me was a family of 5 with a girly toddler who screamed for most of the flight. A baby crying I can understand, but this family was generally very noisy and seemed unaware that they were sharing the cabin with other passengers. There seemed to be no attempt by cabin staff to try to improve the situation, even though their exchanged looks indicated that they were aware of the noise. Added to that, the cabins of the un-upgraded B777-300ER's are becoming quite shabby and worn, and the IFE systems are behind the times. Because of the noisy fellow travellers I have to downgrade my ratings for these flights. It is a pity, because SIA are reliable, honour seat allocations and the staff are generally very good. Maybe I was unlucky, but my trip home was not as good as I expected.","Skytrax"
2016-07-17,"FAs seemed unconcerned with passengers",7,"Flew PER-SIN-CDG and then return MUN-SIN-PER. Flight over was good, check in was quick and boarding fairly organized and FAs were attentive from PER. Flew A380 from SIN to CDG and the plane looked tired and there was a film of dust on pretty much every surface - would expect more from a high end carrier like this. Meal service was quite slow, and FAs didn't bother to ask me if I wanted a drink, just breezed past me. Meal collection was also slow - 1 hour to collect trays. Most of the FAs seemed unconcerned with their passengers. Food was OK. Exit Row seats were good, and worth the extra $. MUN-SIN: different story, plane, a 777 appeared cleaner and newer, and FAs were attentive. Sitting not even halfway through the plane, couldn't get my first meal choice on either Dinner or Breakfast. Exit row seats not worth it - cart kept banging into my partner's leg/tv screen as the config of the aisle makes there be a little ""turn"". Window seat on this exit row also has a restricted leg room due to protruding of the exit door. Singapore should rethink this config and do 2-3-2 for the bulkhead to make a bit more space. SIN-PER, FAs attentive, but still meal service was quite slow. IFE on way over seemed good, on the 777 on the way back, new KrisWorld system kept freezing for everyone in my row. Touch screen wouldn't work, then remote, then touch screen. Selection of movies quite broad but TV series lacked a bit of punch. All in all, not a bad trip but if I could fly cheaper on another reputable airline for these destinations, I'd try them out.","Skytrax"
2016-07-17,"no longer an experience of delight",6,"I fly for work and do not find Singapore Airlines value for money. Flew from Singapore to Bangkok. The planes are getting old and quality depends on the type of planes. The newest A350 is equally horrible as the cabin space in economy is tightly squeezed to optimise seats for $, but missed out on comfort. The soft touches of SIA being premium such as haagen daaz ice cream, food menus, biz class toiletries pouch or previous-palatable local food in economy have been discarded for margins and this is where I feel SIA have lost their direction/plot. Flying SIA is no longer an experience of delight. One finds too many issues and only is contented to reach the destination safely.","Skytrax"
2016-07-15,"was a very pleasant flight",9,"It was a very pleasant flight from Hong Kong to Singapore with Singapore Airlines. They manage their flights well, and almost everything was perfect, from boarding phase until the landing of the flight. They also serve great food and beverages to the passengers.","Skytrax"
2016-07-15,"aircraft were old and dirty",2,"Rome to Melbourne via Singapore with Singapore Airline. The aircraft on both sectors were old and dirty. My seat had bread crumbs and coffee stains and was generally uncomfortable. The meal card says sit back and relax in your ""luxury"" seat? It was certainly not in economy class. I was made to believe that Singapore Airlines offered great service however I was unimpressed. Food was average, drinks sparse and you had to ask and wait for a while for them to return with a drink. Some of the flight attendants had no warmth or smile. You would think on long sectors, there would be more attention to service however this was not the case. Overall, disappointing on SQ and would think twice before booking again.","Skytrax"
2016-07-13,"dinner menu was not provided",8,"The flight was full after the holidays, hence took a longer time to board and delayed by some 20 minutes. I was surprised that the dinner menu was not provided - rather the cabin crew took the ""chicken or fish"" approach. Not sure if Singapore has ditched the menu for economy class. Food was ok, but seems like they switched to cheaper looking cutlery this year. Also I found the cabin light was inadequate. Again not sure, if it was intentionally kept dim or just the the aircraft was aging. Overall, I felt a bit short of the 5 star service that I am used to getting from SQ. I hope this is an one off experience.","Skytrax"
2016-07-12,"a bit of a nuisance",6,"Singapore Airlines was always noted most for their cabin crew attentiveness, you read it still in their proud history in the inflight magazine. I think the slogan was 'Singapore girl, what a great way to fly'. Nowadays if you are lucky enough to be in business you will still come across one of these amazing women. However, you are more likely to get the totally uncommitted new fleet of cabin crew in economy who view the public as a bit of a nuisance and eye contact has gone. Tragedy that whoever is in charge of training cabin staff for this airline is doing a terrible job and losing loyal customers. On my flight, SQ217, Singapore to Melbourne, 10.45 on July 7, I had a rude male steward ever who did not smile once. Back to Qantas for this frequent Australia to Europe passenger.","Skytrax"
2016-07-11,"more concerned about their timing",9,"Flew from Singapore to Frankfurt. Seat was very comfortable, with good privacy. Great wine list and very good food. When you are flying First, the only advice to Singapore is to avoid pushing us to eat at their time. It seemed to us that they were more concerned about their timing. That was not suitable at all. Anyway, this had already happened to me flying Singapore on other routes. Singapore flight attendants welcome us in a very distiguinshed manner. Please pay attention in small details regarding your guests specifics and/or timing aboard.","Skytrax"
2016-07-10,"the service was excellent",7,"First leg was on one of the older Singapore Airlines 777s that was probably assigned to routes like Singapore - Kuala Lumpur or one of the other regional routes, but the service was excellent and the food was good. The seat was worn out and hard, but SQ is introducing the A350 to JNB. The return leg from JNB was on the 350 so the seat was much more comfortable and the Entertainment system was easier to use, save for the IFE jamming every few hours.","Skytrax"
2016-06-30,"Premium Economy is totally inferior",4,"Melbourne to London with Singapore Airlines. Premium Economy is totally inferior compared to Qantas. No private feel to the cabin and no private toilet - just a silly curtain for separation. You have to outright ask for the Champagne which is meant to be part of the privilege of paying double the economy fare. Never again for this former SQ traveller.","Skytrax"
