id,screen_name,name,description,category,
106062176,airfrance,Air France,#FranceisintheAir! Stay connected for our latest news! At your service 24/7 (Personal info by DM only),airline,
40205617,AirFranceFR,Air France FR,#FranceisintheAir ! @AirFranceFR vous delivre ici ses dernieres offres et est à votre service 24/7. (Donnees perso uniquement en DM),airline,
30899115,AirFranceUS,Air France US,#FranceisintheAir! At your service 24/7. Stay connected for our latest news. For media inquiries tweet @AFNewsroom (Personal info by DM only),airline,
59371175,AirNZ_Deals,Air NZ Deals,Deals from Air New Zealand,airline,
21152244,AIRNZUSA,Air New Zealand USA,Welcome to the official Air New Zealand USA twitter page. For customer service please call 1-800-262-1234 (USA only).,airline,
1976168742,airserbia,Air Serbia,"Welcome to the official Air Serbia page! We are here to answer you on weekdays, 9 to 17h UTC+2. For claims: https://t.co/pKjpUiBczd",airline,
532956420,Airtel_Ug,Airtel Uganda,"#ItsNow time to tweet! Talk to us and let us help, THIS is the Official Twitter Handle of Airtel Uganda",airline,
538101032,airtelrw,Airtel Rwanda,Hello Rwanda!!  Airtel is proud to be here because Rwanda deserves the best.,airline,
13192972,AlaskaAir,Alaska Airlines,Official account of Alaska Airlines. Our Social Care team is here for you 24/7. For a formal response: https://t.co/NejvhDF05N. Tag photos with #iFlyAlaska,airline,
1416584508,AlasUruguay,Alas Uruguay,"Bienvenidos a la cuenta oficial de Alas Uruguay. Tenes alas, vola.",airline,
22536055,AmericanAir,American Airlines,We're here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA,airline,
304467186,ANA_flight_info,ＡＮＡ運航の見通し情S�,s�n�線・s�際線の運航の見通し情S�（気象状況等から予測される当日・翌日の運航情S�）の配信、及び運航情S�に関するお問い合わせにお答えするサポートサービスを提供します。返信にはお時間をいただくS�合もございます。また、台風等でお問い合わせが多いS�合は個n�の対応ができないこともございます。各便の運航情S�は発着案n�をご覧ください。,airline,
1481025810,ANA_travel_info,ANA旅のつぶやき【公式】,ANAの公式Twitterアカウントです飛行機や風景n�真、おトク情S�など旅に出たくなる情S�を毎日ゆる～くお届けしています なお、いただいたコメントへのz�返事はいたしか�i��す。ご了承ください。 【ANAソーシャルメディアn�用規約】http://t.co/T4GUULqqTm,airline,
26967008,anadolujet,AnadoluJet,,airline,
352370759,AsercaAirlines,Aserca Airlines,Aserca Airlines es la aerolinea con mas rutas y conexiones con vuelos nacionales e internacionales. Visitanos tambien en https://t.co/OzBA1Fb8EL,airline,
17055388,AsianaAirlines,Asiana Airlines,"Official Twitter of Asiana Airlines USA. Main hub: Seoul, Korea. #ASIANA380 now operating LAX-ICN via OZ202/201. Formal responses visit http://t.co/VzCObfDbdR",airline,
99059278,Atlasglobal,Atlasglobal,"Hayallerin ustunde bir dunya Atlasglobal, Twitter'da! 0850 222 0000",airline,
274087824,Avianca,Avianca,"Sitio Oficial, horario de atencion al cliente: Lun-Vie 7am-9pm,Sab y Dom 8am-8pm (UTC-05:00) Bogota, Lima, Quito Es/En",airline,
77210708,AviancaBrasil,Avianca Brasil,Voamos para 22 destinos nacionais. Somos premiados por oferecer o melhor atendimento do setor e o maior espaco entre as poltronas. Voe conosco!,airline,
146943873,AviorAirlines,Avior Airlines,"Porque viajar es un regalo permanente, que te enriquece de por vida. Nosotros estamos alli, para hacerlo posible. Call Center: 0501-AVIOR-00",airline,
23439654,azulinhasaereas,Azul Linhas Aereas,Azul. Voce la em cima.,airline,
9549352,BA_USA,British Airways N.A.,This account is no longer active. Please follow @british_airways for 24-hour a day customer support and updates.,airline,
72484859,bangkok_airways,Bangkok Airways,"6 Years - Asia's Best Regional Airline, operate flights daily from Bangkok to Major cities in Thailand, Indochina, and Maldives. Asia's Boutique Airline",airline,
18332190,British_Airways,British Airways,"Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit",airline,
145211963,BulgariaAir,България Ер,Официален туитър канал на българския национален авиопревозвач. | Official twitter account of the Bulgarian National Airline.,airline,
16898427,cathaypacific,Cathay Pacific,"Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You'll find us tweeting Mon-Fri between 9am & 5pm",airline,
62452990,CebuPacificAir,Cebu Pacific Air,Hi everyJuan! This is the official Twitter page of Cebu Pacific Air. How may we help you? https://t.co/nolh7j7Ov1,airline,
78264667,Citilink,Citilink Indonesia,"Welcome to the official Citilink Indonesia Twitter account! For more information & flight info, please call 08041080808 (24 Hours) / info@citilink.co.id",airline,
24444176,Condor,Condor,Herzlich willkommen auf dem offiziellen Twitter Kanal der Condor Flugdienst GmbH. Impressum: http://t.co/QiGlUJppKX,airline,
25082628,CopaAirlines,Copa Airlines,Sitio Oficial. Estamos aqui para atenderte de Lun-Vie de 8:30 a.m. - 5:30 p.m. Espanol/Ingles/Portugues.,airline,
25379996,CzechAirlines,CzechAirlines,Official twitter channel of Czech Airlines. Share your travel stories with hashtag #flyOK,airline,
5920532,Delta,Delta,"Official account of Delta Air Lines. We're listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.",airline,
166607010,DeltaNewsHub,Delta News Hub,"Official Twitter newsroom of Delta Air Lines, a resource for people sharing Delta news. Visit @Delta for customer service, tips and promos.",airline,
70008157,EGYPTAIR,EGYPTAIR,Bringing continents and cultures closer together. The official Twitter account of EGYPTAIR.,airline,
821045162,emirates,Emirates airline,The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7,airline,
281468209,EmiratesIDUAE,Emirates ID,للاستفسارات تواصلوا مع For inquiries please contact @EmiratesID_HELP,airline,
45621423,EtihadAirways,Etihad Airways,"Welcome to the official Etihad Airways Twitter account! Follow us for latest news, events and exclusive competitions! For queries or problems, go to @EtihadHelp",airline,
76289333,FijiAirways,Fiji Airways,"Welcome to the official Twitter account of Fiji Airways, Fiji's national airline.",airline,
16694416,Finnair,Finnair,"Follow us to hear what's latest with Finnair and to talk with us! For customer inquiries, please contact http://t.co/RDJ5GkjS @FinnairHelps",airline,
1907462197,FinnairSuomi,Finnair,Tama on @Finnair'in virallinen suomenkielinen Twitter-tili. Olemme taalla keskustelemassa ja kuuntelemassa. Asiakaspalvelukysymyksissa auttaa @FinnairHelps.,airline,
31015988,FireflyAirlines,Firefly Airlines,"Firefly's official twitter. Our team is ready to serve you from Mon - Fri from 9am to 5pm (GMT+8). For specific queries, pls email customer_care@fireflyz.com.my",airline,
180295902,Fly_Norwegian,Norwegian,World's Best Low-Cost Long Haul airline 2015! Here to give you the latest company news and help you out. Customer service: https://t.co/kZn7JviQrF,airline,
19617105,FlyAirNZ,Air New Zealand️,The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.,airline,
2616826076,FlyANA_official,All Nippon Airways,"This is the official ANA Twitter! If you have any questions, complaint or immediate concerns, please contact us at ANA SKY WEB at http://t.co/uNPOyUJGtb",airline,
19415867,Flyasiana,아시아나항공AsianaAirlines,아시아나항공 공식 트위터 계정입니다. / Official Twitter Account of Asiana Airlines,airline,
14172570,FlyFrontier,Frontier Airlines,"We fly to more than 75 destinations in the US, Mexico and more! For questions and concerns tweet to @FrontierCare or contact us here: https://t.co/OX5SxaumbE",airline,
95252395,FlyingBrussels,Brussels Airlines,Our social media team is at your service for all questions regarding your Brussels Airlines flight.,airline,
61235377,FlyMangoSA,Mango Airlines,"SA's loved low cost airline, flying between most major cities in SA and to Zanzibar. We respond between 7am-9pm. Contact: guestcare@flymango.com or 086 100 1234",airline,
42707761,flymepegasus,Pegasus Airlines,Pegasus Airlines' Official English Twitter Account. A leading low-cost airline in Turkey.,airline,
140324159,flynas,flynas طيران ناس,ناقل وطني سعودي. أفضل طيران اقتصادي في الشرق الأوسط للعامين 2015-2016.  Saudi national carrier. Middle East's leading low cost airline for 2015-2016,airline,
54149214,flyPAL,Philippine Airlines,This is the OFFICIAL twitter site of Philippine Airlines.,airline,
112440529,FlyRwandAir,RwandAir,RwandAir is the national carrier of the Republic of Rwanda.  #FlytheDreamofAfrica. Website: https://t.co/lMAtlFGzqC,airline,
136071451,flysaa,SAA - South Africa,The home of South African Airways - Africa's Most Awarded Airline. https://t.co/5XGV0j6SvX we tweet from 8am to 5pm and we love feedback.,airline,
117141706,flySAA_US,SouthAfricanAirways,"Welcome to South African Airways' official Twitter desk in North America! We tweet from 9am to 8pm ET, M-F, and we love feedback: http://t.co/UTwlTGj4do",airline,
117284445,flysrilankan,SriLankan Airlines,Official account of SriLankan Airlines - South Asia's Best Airline. We take you to 96 destinations in 46 countries. You're our world!,airline,
21764143,FlySWISS,Swiss Intl Air Lines,"Official twitter account of Switzerland's national airline. SWISS in CH @FlySWISS_CH, in the USA @FlySWISS_US, SWISS Cargo @SwissWorldCargo",airline,
159420805,FlySWISS_CH,Swiss Intl Air Lines,"Our best offers for customers in Switzerland. For information, contests and news about SWISS follow @FlySWISS",airline,
130033681,Garuda_Promo,PT Garuda Indonesia,Official Garuda Indonesia Airline's twitter account for PROMO/Discounts Ticket. For other information please follow @indonesiagaruda,airline,
16629918,Iberia,Iberia,A tu servicio 24 horas los 365 dias del ano. �En que podemos ayudarte desde aqui? �Te leemos! :),airline,
21759987,Icelandair,Icelandair,"Welcome to the official Twitter of Icelandair. Icelandair is an international airline currently serving 40 gateways in Europe, the USA and Canada.",airline,
155418706,IndonesiaGaruda,Garuda Indonesia,"The Airline Of Indonesia | 24 hours Call Center 08041807807, +622123519999 | sosialmedia@garuda-indonesia.com |Facebook https://t.co/c2c2QMoNGf",airline,
2524319791,JAL_flight_info,JAL 運航情S�【公式】,s�n�線・s�際線の運航情S�(天候による影響等から予測される運航情S�)を、定期的におl�えするJAL公式アカウントです。実際の運航状況とは異なるS�合がございます。各便の詳細な運航状況は、JALホームページ「運航の見通し」をご確認ください。リプライへのお返事はいたしか�i��すのでご了承ください。,airline,
2253325604,JAL_Official_jp,JAPAN AIRLINES【JAL】,JAL（日本航空）の「今」をおl�えする公式アカウントです！「誰かに話したくなっちゃう！」そんなJALのおz�情S�や航空業界の裏話を、新入社員の「ももえり」が日々つぶきます��リプライへのお返事はいたしか�i��すのでご了承ください。��JALソーシャルメディアn�用規約https://t.co/iczxqc2kFg,airline,
14918367,jetairways,Jet Airways,The official Twitter account of Jet Airways. Follow us for interesting updates and information!,airline,
6449282,JetBlue,JetBlue Airways,"Hi, nice to tweet you! Fly with us to 90+ destinations and experience our award-winning service. For concerns that require a response, call or email.",airline,
73287339,Jetstar_Asia,Jetstar Asia,Low fares are just part of the story,airline,
228681480,Jetstar_Japan,ジェットスター,ジェットスターのおトクなセールや�i��ンペーン情S�を随時配信中彡 お見逃しなく,airline,
19273963,JetstarAirways,Jetstar Airways,"Australia's all day, every day low fares airline. Here to help with customer service queries & fantastic offers. Monitored 7am-8pm weekdays & 9am-5pm weekends.",airline,
58428956,JINAIR_LJ,JIN AIR(진에어),A Low Cost Carrier & an affiliated company of Korean Air. Experience smart price & SAFETY with us. Jin Air operates 3 Domestic routes & 25 International routes.,airline,
56377143,KLM,Royal Dutch Airlines,"Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!",airline,
19401532,KLM_UK,KLM UK ️,"The official Twitter account of KLM Royal Dutch Airlines in the UK. Stay tuned for competitions, news, deals, and 24/7 support!",airline,
20511391,klmfan,KLM Royal Airlines,Royal Dutch Airlines Fan Twitter. Handled by @timvanwaard -KLM-Airlines-Social-Content-Community-Travel-Africa-Nature-Flying-,airline,
89133606,KoreanAir,대한항공,"Leading global carrier, a founding member of SkyTeam, operates more than 400 flights per day to 131 cities in 46 countries.",airline,
23413363,KoreanAir_KE,Korean Air,"Leading Global carrier, a founding member of SkyTeam, operates more than 400 flights per day to 131 cities in 46 countries.",airline,
28051644,kulula,kulula,"Twitter's most fun South African airline. We'll try answer all tweets between 8am - 5pm, Mon - Friday. Alternatively call us 0861 KULULA (585852).",airline,
217818241,LAConviasa,Linea Aerea Conviasa,"Cuenta Oficial de la Aerolinea Bandera de Venezuela. CONVIASA: El Placer de Volar, ente adscrito al Min del P.P. para Transporte y Obras Publicas @minpptt",airline,
75460291,laserairlines,Laser Airlines,Cuenta oficial de la Aerolinea Venezolana LASER AIRLINES. Comparte tus fotos usando la etiqueta #MomentosDeAltura,airline,
205040314,LATAM_ARG,LATAM en Argentina,Bienvenido a LATAM Airlines Argentina. Estamos listos para ayudarte 24/7. Descubri mas sobre nosotros en https://t.co/rdsbUBSKen.,airline,
20584172,LATAM_BRA,LATAM Brasil,Bem-vindo à LATAM Airlines Brasil. Estamos prontos para te ajudar 24/7. Descubra mais sobre nos tambem no https://t.co/1cNxg0rPAZ,airline,
292424857,LATAM_CHI,LATAM Chile,Bienvenido a LATAM Airlines Chile. Estamos listos para ayudarte 24/7. Descubre mas sobre nosotros en https://t.co/AvrEr5VH5H,airline,
21837373,LATAM_CO,LATAM Colombia,Bienvenido a LATAM Airlines Colombia. Estamos listos para ayudarte 24/7. Descubre mas sobre nosotros en https://t.co/MdmOjqPrVE,airline,
4861032891,LATAM_URU,LATAM Uruguay,Bienvenido a LATAM Airlines Uruguay. Estamos listos para ayudarte 24/7. Descubri mas sobre nosotros en https://t.co/rmWTtHBR1X,airline,
124476322,lufthansa,Lufthansa,Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!,airline,
25360913,Lufthansa_DE,Deutsche Lufthansa,"Das ist der offizielle Lufthansa_DE Twitter-Kanal. Bitte richtet Anregungen, Lob oder Kritik an: https://t.co/GjRy7UfyzU",airline,
44994215,Lufthansa_USA,Lufthansa USA,Welcome to the official Lufthansa account for the US! https://t.co/bgi9PfSMN3 Request a response: https://t.co/fmhf6rQuR8,airline,
121428165,MalevAirlines,Malev,"The official Twitter stream of MALEV Hungarian Airlines Ltd. News, flights, tickets, promotions. Magyar valtozat: @MalevBudapest",airline,
19106719,MAS,Malaysia Airlines,Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8),airline,
72192070,NokAirlines,nokairlines,Nok Air Smiling Across Asia | Call Center: 1318 for English Follow @NokAirlines_ENG,airline,
218782707,OnurAir,Onur Air,27 ucaklik filoya ve 6559 koltuk kapasitesine sahip 24 yillik gecmisiyle Turkiye'nin en koklu ozel hava yolu sirketi! 0850 210 66 87,airline,
719614825,PXPNG,Air Niugini Limited,"The National Airline of Papua New Guinea proudly serving a vast domestic network and international ports in Australia, Asia and the Pacific.",airline,
218730857,Qantas,Qantas,"The official Qantas Twitter page to share information & get feedback. We're online 24 hours a day, 7 days a week.",airline,
25792111,QantasUSA,Qantas Airways USA,Official Qantas USA. Follow us for USA news & fare sales. Visit https://t.co/2rwl9Mp5h8. For travel q's you may contact @Qantas. We're here Mon-Fri 9am-5pm PST.,airline,
14589119,qatarairways,Qatar Airways,"Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F",airline,
10032712,qatarliving,Qatar Living,The latest and greatest from the QL Team! Tweet using #QatarLiving and we will share! Follow us on Snapchat - username: qatar_living,airline,
1542862735,Ryanair,Ryanair,Thanks for choosing Europe's favourite airline! We're here 7am - 9pm everyday. Ryanair. Low Fares. Made Simple. Live Flight Info here: https://t.co/cnePB7yLGg,airline,
1379801,SAS,SAS,"The largest airline company in Scandinavia, flying to and from Europe, with flights to North America and Asia. Customer service: flysas.com or facebook.com/SAS",airline,
2884106770,SAS_Viking,SAS Viking,"My name is Emund Viking(LN-RKH), an Airbus 330 and a proud member of @SAS. I�m super happy because I�m going to be the second plane with #SASNEWCABIN.",airline,
170620083,Saudi_Airlines,SAUDIA | السعودية,"حساب السعودية الرسمي حيث تجدون آخر الأخبار والعروض | للشكاوى يرجى التواصل مع Saudia official account| For complaints, Pls tweet to @Saudia_Care",airline,
7212562,SouthwestAir,Southwest Airlines,We run on #SouthwestHeart. Follow for news & stories about the greatest Employees & Customers in the world. For official concerns please use the link provided.,airline,
21401523,staralliance,Star Alliance,"The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.",airline,
78985926,tarom_ro,TAROM,"Welcome to TAROM! Whether you choose our Business or Economic Class, travel in style, at affordable fares and benefit of our over 60 years aviation experience.",airline,
114990575,ThaiAirways,Thai Airways,Welcome aboard to official Twitter account of Thai Airways International,airline,
61111173,tigerair_ID,Tigerair Indonesia,"Temukan destinasi impianmu, pesan tiketnya sekarang. Tigerair takes you there! To connect with us, please also like http://t.co/4Ipa3hERGC or call 021 29532888",airline,
54524468,TigerairSG,TigerairSG,The official Twitter page of Tigerair Singapore,airline,
18976076,TUIflyBelgium,TUI fly Belgium,Official TUI fly Belgium Twitter account #TUIfly #TUIflywithus,airline,
42865366,TUIflycom,TUIfly.com,"Offizieller Twitter-Kanal von https://t.co/0O43PT2KGl   Impressum: https://t.co/T02x5ClYes Fluggesellschaft: TUIfly GmbH, Flughafenstr. 10, 30855 Langenhagen, Germany",airline,
18909186,TurkishAirlines,Turkish Airlines,Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.,airline,
260907612,united,United,Conversations with you here are 140 characters-friendly. Tweet us any time. For a formal response visit https://t.co/cpgjUnDsve.,airline,
78084813,USAirways,US Airways,,airline,
12101862,VirginAmerica,Virgin America,Welcome to the only mood-lit Twitter feed. Check out our blog http://t.co/rYssSyFrNc. For official complaints please visit us at http://t.co/cftZiNWDrG. Cheers!,airline,
20626359,VirginAtlantic,Virgin Atlantic,"Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR",airline,
15378041,VirginAustralia,Virgin Australia,Welcome to the official page for Virgin Australia. We're here to help from 5am-11pm (AEST). For 24/7 assistance call 13 67 89. Feedback: http://t.co/bpg9Lb8EOj,airline,
7849082,vueling,Vueling Airlines,The official Vueling channel to be informed of the latest news and exclusive offers. Share your pics with #vueling and we will share the best ones.,airline,
15519886,WestJet,WestJet,Welcome to the official WestJet Twitter account! We're online and available to help 24/7. Please send personal info via direct message only.,airline,
624837541,wizzair,wizzair.com,Welcome to the official twitter channel of WIZZ! Call centre: http://t.co/6bdl6KRb5v CS webmail: http://t.co/E47N2HWVmy,airline,
82363276,LufthansaLatina,Lufthansa Latina,"Toda la informacion sobre Lufthansa en Argentina, Colombia, Mexico, Panama y Venezuela. Horario de atencion twitter de 9 a 18 hs",airline,
26969502,TK_TR,Turk Hava Yollari,"Resmi Twitter hesabimiza hos geldiniz! Yeni yerleri ve cok daha fazlasini kesfetmek icin bizi takip edebilir, sorularinizi @TK_HelpDesk'e iletebilirsiniz.",airline,
222766992,aena,Aena,"Twitter oficial de Aena, primer operador aeroportuario del mundo: 46 aeropuertos y 2 helipuertos en Espana, mas la gestion de otros 16 internacionales",airport,
29191391,Airport_FRA,Frankfurt Airport,"The official Twitter account of Frankfurt Airport, managed by the Fraport Team. Follow us for the latest news about FRA. https://t.co/x3UcmMxqeW",airport,
410625436,AirportBTS,Airport Bratislava,Welcome on official Airport Twitter feed! We are the biggest international airport in Slovakia.Check our news and click on our smart solutions.,airport,
1514068152,AirportWebcams,Airport Webcams,"The largest & most up-to-date database of LIVE Airport Webcams worldwide. Now more than 1,500 online. Exclusive FREE software for multiple viewing.",airport,
21739712,Arlanda,Arlanda Airport,Arlanda's official account! We are here for you 24/7. Call us at +46 (0)10 109 10 00 or check out http://t.co/jaO83hLz1L. Send DM/mention for flight info.,airport,
21864710,avinor,AVINOR,"Avinorkonsernets Twitter-konto benyttes som nyhetskanal. For sporsmal om trafikkavvikling, kontakt den enkelte lufthavn eller ditt flyselskap.",airport,
88878382,BrusselsAirport,Brussels Airport,"Welcome! We are the heart of Europe, serving 23.5 million passengers per year. At your service 8 am - 8 pm CET in English, Dutch and French.",airport,
300128195,budairport,Budapest Airport,"Budapest Airport - Where everything takes off! Welcome to our official twitter stream. You can expect news, pictures, travel chat and Hungarian hospitality.",airport,
65268724,ChangiAirport,Changi Airport,"The official #ChangiAirport Twitter account for the latest news, events & deals. You may also follow @ChangiAirport on Facebook, Instagram, YouTube & LinkedIn.",airport,
216392997,ChopinAirport,"Chopin Airport, WAW",This is an official Twitter feed of Warsaw Chopin Airport - the main gateway of Poland. Check our news and tips and send us questions and comments.,airport,
48392537,CPH_airport,CPH Airport Fans,News from and about Copenhagen Airport. This is NOT an official account but is managed by dedicated fans. For official see @cphairports,airport,
2234683241,CPHAirports,Copenhagen Airport,The official Twitter account of Copenhagen Airport (CPH),airport,
106317808,DubaiAirports,Dubai Airports,Dubai Airports owns and manages the operation of Dubai International (DXB) and Dubai World Central (DWC). تابعوا صفحتنا باللغة العربية @DubaiAirportsAr,airport,
179569408,DublinAirport,Dublin Airport,"Dublin Airport's award-winning Twitter feed. Tel 353 1 8141111 For customer queries, please tweet @askDUBairport",airport,
41570978,EDI_Airport,Edinburgh Airport,Official Edinburgh Airport Twitter feed. This account is monitored Mon - Fri 6am - 8pm and Sat - Sun 10am - 8pm. Customer Information line 0844 448 8833,airport,
804371911,FinaviaOyj,Finavia,The Finnish airport operator. Our 22 airports in Finland carry over 20 million passengers annually. Join the conversation! Finavia - For #smoothtravelling.,airport,
26886095,flyLAXairport,LAX Airport,"Welcome to the 7th busiest airport in the world, 3rd in the U.S., and a Gateway to the Pacific Rim. LAX reserves the right to remove any comments. #flyLAX",airport,
33875003,Gatwick_Airport,Gatwick Airport LGW,We're here 24/7 to answer your questions and help you have a great experience at Gatwick. Follow @LGWobviously for runway 2 news.,airport,
41571188,GLA_Airport,Glasgow Airport,Welcome to the official Glasgow Airport Twitter feed. This account is not monitored 24/7. Customer information line 0844 481 5555,airport,
20823928,HeathrowAirport,Heathrow Airport,Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.,airport,
72782367,HelsinkiAirport,Helsinki Airport,#Smoothtravelling since 1952. Leading long-haul airport in Northern Europe. Share your pics and thoughts with #helsinkiairport. Happy travels!,airport,
90604847,KatowiceAirport,KatowiceAirport,This is official Twitter feed of Katowice Airport,airport,
1324180814,KrakowAirport,Krakow Airport,"The official Krakow Airport Twitter Account. Your official source of news, offers and travel tips. Out of hours: +48 801 055 000,       +48 12 295 58 00",airport,
32388036,LondonCityAir,London City Airport,London City Airport - the true gateway to London,airport,
19913832,manairport,Manchester Airport,"Official Twitter stream for Manchester Airport. News, offers & banter with a hint of Northernness. Manned from 7am-11pm. Contact Centre Number: 0330 333 0304",airport,
21870007,Oslolufthavn,Oslo Lufthavn (OSL),"Offisiell Twitterkonto for Oslo Lufthavn (OSL) / Oslo Airport. For 24 timers kundeservice, besok https://t.co/Xb5MOD0d5b",airport,
106699049,ParisAeroport,Paris Aeroport,Toute l'info sur les aeroports de #Paris-#Orly (ORY) & Paris-Charles de Gaulle (#CDG). Your real time information feed about Orly & CDG airports. #Parisvousaime,airport,
551624446,QAIAirport,QAIAirport,Welcome to the official Twitter channel of Queen Alia International Airport- Jordan's main gateway to the world. #BelieveInJordan,airport,
44849531,riga_airport,RIGA I Airport,No.1 Airport in Baltic states,airport,
8279892,Schiphol,Schiphol,Welcome to the official Amsterdam Airport Schiphol Twitter feed. We're here to help 7 days a week between 06:00 and 00:00 (CEST).,airport,
15656072,SimpliFlying,SimpliFlying,"We help airlines become remarkable. We've worked with 70+ airlines & airports globally, pushing boundaries. Are you willing to embrace change too?",airport,
41570734,STN_Airport,Stansted Airport,Official Stansted Airport twitter feed. We're here to help Monday to Friday between 8:30am-4:30pm and we'd love to hear from you! | Instagram:stn_airport,airport,
194613324,svo_airport,Аэропорт Шереметьево,Официальный твиттер аэропорта Шереметьево. Международный аэропорт Шереметьево (Москва) �� крупнейший российский аэропорт по обслуживанию международных рейсов.,airport,
563007403,TLLairport,Tallinn Airport,Follow us on the road of becoming the world's cosiest airport!,airport,
222812039,VnukovoAirport,Аэропорт Внуково ,"Твиттер Международного аэропорта Внуково. Здесь больше, чем просто пресс-релизы! :)",airport,
1007094024,WMI_Airport,Warsaw/ModlinAirport,"Oficjalny profil Portu Lotniczego Warszawa/Modlin. The official Twitter feed of Warsaw/Modlin Airport, PL.",airport,
282510542,zrh_airport,Zurich Airport,The official twitter account of Zurich Airport. Facebook: https://t.co/PTTqNnMS9I Instagram: https://t.co/U98JzMAcLe,airport,
203162990,20thcenturyfox,20th Century Fox,Welcome to the Official Twitter page for 20th Century Fox.,brand,
378197959,3M,3M,"Here, we innovate with purpose & use #science every day to create real impact in every life around the world. #Lifewith3M",brand,
132355708,711SEJ,セブン-イレブン・ジャパン,セブン-イレブン公式アカウント。商品やセール・�i��ンペーン情S�等をツイートしていきます！��店舗、商品に関するお問合せは下記窓口へお願い致します。https://t.co/52MoaYtM9G 0120-711-372(平日9時～17時30n�) ソーシャルメディアのn�用規約 https://t.co/oHOEEyAMmZ,brand,
15907720,addthis,AddThis,Grow your website with tools trusted by over 15 million sites.  Need support? Get in touch @addthissupport,brand,
219683269,adidasfootball,adidasfootball,Take your game to another galaxy. #X16 and #ACE16 from the Stellar Pack. #FirstNeverFollows,brand,
20348431,adidasoriginals,adidas Originals,Three Stripes. Past. Present. Future.,brand,
3074794935,aerodecarrasco,AeropuertoDeCarrasco,Cuenta oficial del Aeropuerto de Carrasco.,brand,
