"followee","screen_name","name","timezone","description","category","country","count","rank"
24705126,"ShashiTharoor","Shashi Tharoor","New Delhi","MP for Thiruvananthapuram. Author of 15 books. Former Minister of State,Govt.of India.  Former UnderSecretaryGeneral,UnitedNations. RTs do not imply endorsement","","India",3956,40
20751449,"the_hindu","The Hindu","New Delhi","News feeds from India's National Newspaper","","India",3890,41
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other","India",3876,42
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","India",3819,43
20626359,"VirginAtlantic","Virgin Atlantic","London","Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR","airline","United Kingdom",3814,2
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news","India",3797,44
39743812,"EconomicTimes","EconomicTimes","New Delhi","The No. 1 Business Daily in India brings you the latest #news updates and LIVE coverage of #politics #economy #markets #technology | RTs are not endorsements","","India",3784,45
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news","United Kingdom",3764,3
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","India",3758,46
185142711,"BCCI","BCCI","Mumbai","The Official Twitter Handle of Team India","","India",3754,47
92708272,"msdhoni","Mahendra Singh Dhoni","New Delhi","Member TEAM INDIA, Biker, Gamer, hindi retro aficionado, an absolute pet-lover and perennially hungry for chicken butter masala","","India",3748,48
57947109,"Flipkart","Flipkart","Chennai","India's favourite online shopping destination - https://t.co/ehsYnRT1t2! For customer support connect with @flipkartsupport","","India",3681,49
122995784,"Javedakhtarjadu","Javed Akhtar","Mumbai","A poet, lyricist, scriptwriter, atheist and a die-hard optimist","","India",3656,50
109275593,"ImZaheer","zaheer khan","Hawaii","Cricketer | Fitness Enthusiast | Owner of ProSport Fitness| Co-Owner of Toss, Dine Fine| Cheese Cake Lover| Playing for DD in IPL8 | Love Mumbai|","","India",3655,51
1346439824,"rajnathsingh","Rajnath Singh","New Delhi","Minister of Home Affairs, Government of India, INDIA","","India",3648,52
297169759,"SamsungMobile","Samsung Mobile","Eastern Time (US & Canada)","[Statement] Samsung Urges Galaxy Note7 Users to Immediately Participate in The Replacement Program https://t.co/qyBpeBPd64","brand","India",3641,53
155418706,"IndonesiaGaruda","Garuda Indonesia","Jakarta","The Airline Of Indonesia | 24 hours Call Center 08041807807, +622123519999 | sosialmedia@garuda-indonesia.com |Facebook https://t.co/c2c2QMoNGf","airline","Indonesia",3606,1
2597413135,"RashtrapatiBhvn","President of India","New Delhi","This is the official Twitter account of Rashtrapati Bhavan and is run by President’s Secretariat. Tweets from the President are signed – President Mukherjee","","India",3602,54
57188977,"sonunigam","Sonu Nigam","Mumbai","#NAME?","","India",3598,55
66334209,"LaraDutta","Lara Dutta Bhupathi","Hawaii","One head, many hats!   Instagram ac - @larabhupathi","","India",3594,56
15639696,"IPL","IndianPremierLeague","Mumbai","Follow to get exclusive and real-time Indian Premier League news and updates.","","India",3593,57
103770785,"TwitterIndia","Twitter India","New Delhi","ट्विटर - The official Twitter India account. Follow @VideoIndia for the best Twitter videos in India.","","India",3574,58
382267114,"Android","Android","Pacific Time (US & Canada)","News, tips, and tricks direct from the Android team.","brand","India",3519,59
14589119,"qatarairways","Qatar Airways","Kuwait","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline","United Kingdom",3513,4
177547780,"ICC","ICC","London","The official twitter account of the International Cricket Council, world cricket’s governing body #CT17 Starts June 1st 2017","other","India",3493,60
2785480981,"makeinindia","Make in India","New Delhi","A major national program designed to facilitate investment, foster innovation, enhance skill development and build best-in-class manufacturing infrastructure.","","India",3479,61
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","India",3457,62
74286565,"Microsoft","Microsoft","Pacific Time (US & Canada)","The official Twitter page for Microsoft consumer products and your source for major announcements and events.","brand","India",3431,63
307781209,"SMRT_Singapore","SMRT Corporation","Singapore","Official Twitter channel for SMRT. Offers information and real-time train service updates. For feedback, drop a line to http://t.co/G2rbdPLYAu","other","Singapore",3425,5
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","India",3423,64
60937837,"Swamy39","Subramanian Swamy","New Delhi","Rajya Sabha MP, Fmr. Union Cabinet Minister, Harvard Ph.D in Economics; Professor, BJP National Exec. member, I give as good as I get","","India",3420,65
16542390,"ESPNcricinfo","ESPNcricinfo","Mumbai","The home of cricket. https://t.co/tBXKmUsRs1
https://t.co/SehLbGwWnT","","India",3408,66
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","India",3386,67
55520719,"shreyaghoshal","Shreya Ghoshal","Mumbai","A flower child. Sings the tune of love.","","India",3364,68
109241992,"SunidhiChauhan5","Sunidhi Chauhan","Hawaii","Singer, performer","","India",3362,69
102382667,"NargisFakhri","Nargis","Mumbai","Global Citizen","","India",3349,70
2602959463,"RailMinIndia","Ministry of Railways","New Delhi","Official Account of the Ministry of Railways, Government of India.","","India",3343,71
