"screen_name","name","description","category","X","count"
"Telegraph","The Telegraph","The latest news, business, sport, comment, lifestyle and culture from the https://t.co/cJ9Ctg93KL team.","news",NA,19645
"TripAdvisor","TripAdvisor","Know better, book better and go better on the world's largest travel site.","travel",NA,49960
"britneyspears","Britney Spears","My new album #Glory is out now!","person",NA,56927
"Lumia","Lumia","The official destination for the latest news, updates and insights from the Microsoft Lumia team. For support Tweet @LumiaHelp","brand",NA,23188
"ESPNcricinfo","ESPNcricinfo","The home of cricket. https://t.co/tBXKmUsRs1
https://t.co/SehLbGwWnT","sports",NA,19473
"9GAG","9GAG","Officially 9GAG. Follow us for LOL. get our app on http://t.co/nCs4SurI1w","channel",NA,58000
"Iberia","Iberia","A tu servicio 24 horas los 365 dias del ano. �En que podemos ayudarte desde aqui? �Te leemos! :)","airline",NA,21480
"latimes","Los Angeles Times","News from Los Angeles and the world. Staffed by http://t.co/zb8HyvYyAJ editors.","news",NA,21058
"cathaypacific","Cathay Pacific","Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You'll find us tweeting Mon-Fri between 9am & 5pm","airline",NA,124860
"Independent","The Independent","News, comment and features from The Independent.","news",NA,20666
"AsianaAirlines","Asiana Airlines","Official Twitter of Asiana Airlines USA. Main hub: Seoul, Korea. #ASIANA380 now operating LAX-ICN via OZ202/201. Formal responses visit http://t.co/VzCObfDbdR","airline",NA,44991
"hootsuite","Hootsuite","Social media news and tips from the world's most widely used social relationship platform. Sign up for free: http://t.co/Zmrb0hY23s Support: @Hootsuite_Help","news",NA,34567
"CNTraveler","Conde Nast Traveler","At home in the world. 

Snapchat: CNTraveler","travel",NA,30148
"Expedia","Expedia","Travel tips, inspiration & deals from https://t.co/fcT976R6Hd. Customer service from 5am-10pm PT daily. Have you checked out the Expedia Viewfinder blog yet?","travel",NA,21854
"NatGeo","National Geographic","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel",NA,70479
"Discovery","Discovery","Grab life by the globe!","channel",NA,24676
"Support","Twitter Support","We Tweet tips and tricks to help you boost your Twitter skills and keep your account secure. For detailed help, visit http://t.co/qq1HEzdMA2.","",NA,31616
"taylorswift13","Taylor Swift","Born in 1989.","person",NA,93468
"tonyfernandes","Tony Fernandes","GCEO of AirAsia, Founder of Tune Group, Chairman of QPR , Chairman of Caterham Group.","person",NA,18194
"AviationWeek","Aviation Week","Insight and analysis from the Aviation Week Network, the largest information provider to the global aviation, aerospace and defense industries since 1916.","travel",NA,18440
"British_Airways","British Airways","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline",NA,138745
"KenyaAirways","Kenya  Airways","The Pride of Africa.Official KQ page sharing news, views and overall experience. E-mail: Customer.Relations@kenya-airways.com Tel:+254711024747/+254734104747","news",NA,19617
"CalvinHarris","Calvin Harris","Music producer","person",NA,18903
"CalvinKlein","Calvin Klein","Calvin Klein is a global lifestyle brand that exemplifies bold, progressive ideals and a seductive, and often minimal, aesthetic.","brand",NA,20830
"jamieoliver","Jamie Oliver","Official Jamie Oliver: Proud Dad & Chef","person",NA,24455
"priyankachopra","PRIYANKA","Dreamer.. Achiever..","person",NA,42031
"narendramodi","Narendra Modi","Prime Minister of India","person",NA,50550
"coldplay","Coldplay","New album, A Head Full Of Dreams, out now worldwide. #AHFODtour runs through 2016. Spanish language account: @coldplay_es","person",NA,28400
"TurkishAirlines","Turkish Airlines","Thanks for visiting Europe's Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline",NA,110831
"FT","Financial Times","News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.","news",NA,29672
"aplusk","ashton kutcher","I make stuff, actually I make up stuff, stories mostly, collaborations of thoughts, dreams, and actions. Thats me.","person",NA,25541
"MAS","Malaysia Airlines","Welcome to the official Malaysia Airlines Berhad Twitter account. We're tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline",NA,102665
"TravelMagazine","The Travel Magazine"," Get the latest travel news, articles, reports, guides, offers, competitions and more from https://t.co/0In5ml7F8A - we'd love to hear from you too.","travel",NA,31818
"SkySports","Sky Sports ","The official Sky Sports Twitter account. Bringing you the latest sports news, 24-7.","sports",NA,18965
"MariahCarey","Mariah Carey","New album #1toInfinity out now!","person",NA,22141
"JetstarAirways","Jetstar Airways","Australia's all day, every day low fares airline. Here to help with customer service queries & fantastic offers. Monitored 7am-8pm weekdays & 9am-5pm weekends.","airline",NA,52562
"Oprah","Oprah Winfrey","","person",NA,64078
"Entrepreneur","Entrepreneur","Inspiring, informing and celebrating entrepreneurs since 1973. Please tweet @EntCommunity for questions and event live-feeds.","channel",NA,21528
"NFL","NFL","Official Twitter account of the National Football League. Our Social Media Policy: https://t.co/Og68FW2cN7","sports",NA,31080
"rustyrockets","Russell Brand","x2 new gigs announced London and Hayes! tickets are here: https://t.co/kcYt4hkDE0","",NA,18580
"LFC","Liverpool FC","Official worldwide account of Liverpool FC, England's most successful club with 41 major honours #LFC","sports",NA,21416
"FlyAirNZ","Air New Zealand️","The official Air New Zealand Twitter account  We're listening 24/7. Please call 0800 737 000 for immediate assistance.","airline",NA,69070
"arrahman","A.R.Rahman","Grammy and Academy Award winning musician","person",NA,37131
"IndiaToday","India Today","Brings you news breaks:Exclusive political, entertainment, sports insight, unbiased-nonaligned


Follow us @IndiaToday

Official URL: http://t.co/ICyUpGKpTg","news",NA,20393
"NBA","NBA","30 teams, 1 goal. #ThisIsWhyWePlay","sports",NA,38715
"BDUTT","barkha dutt","Barkha Rani JamKe Barasti Hai. Cloudburst. Journalist. Dreams of being a Lawyer. Argumentative! Yaaron Ka Yaar.","person",NA,21115
"rickygervais","Ricky Gervais","Godless Ape. Comedian, Actor, Screenwriter, Movie Director. #TheOffice #Extras #Derek #TheRickyGervaisShow #LifeOnTheRoad #Humanity","person",NA,20581
"JoannePeh","Joanne Peh","Actress, Singapore. Loves art, music, literature & fashion.","person",NA,31888
"ELLEmagazine","ELLE Magazine (US)","ELLE-o. It's me.","channel",NA,17502
"wizkhalifa","Wiz Khalifa","Taylor Gang","person",NA,33135
"CNBC","CNBC","First in Business Worldwide","news",NA,20469
"google","Google","News and updates from Google","channel",NA,65221
"businessinsider","Business Insider","What you need to know.","channel",NA,21230
"DalaiLama","Dalai Lama","Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.","person",NA,43895
"VirginAtlantic","Virgin Atlantic","Hello Gorgeous! Follow us for news, banter & assistance 24/7. Visit our blog at https://t.co/ziOX3LRnnS or for official concerns visit https://t.co/ZQJmKUNzyR","airline",NA,85526
"UNESCO","UNESCO","Building peace where it starts - in the minds of men & women. Follow our Director-General @IrinaBokova","other",NA,17437
"the_hindu","The Hindu","News feeds from India's National Newspaper","news",NA,18010
"amazon","Amazon","Official Twitter of http://t.co/4rwjfdidk3.  Contact @AmazonHelp for customer support.","brand",NA,17626
"HeathrowAirport","Heathrow Airport","Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.","airport",NA,47418
"ddlovato","Demi Lovato","","person",NA,43183
"allkpop","allkpop","breaking kpop celebrity news and gossip!","channel",NA,41217
"staralliance","Star Alliance","The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.","airline",NA,72875
"UberSoc","UberSocial","A full-featured, customizable Twitter app just for you. For support, please submit tickets here: http://t.co/PBWcqQ73","other",NA,23268
"katyperry","KATY PERRY","Rising...","person",NA,99152
"Icelandair","Icelandair","Welcome to the official Twitter of Icelandair. Icelandair is an international airline currently serving 40 gateways in Europe, the USA and Canada.","airline",NA,18238
"FlySWISS","Swiss Intl Air Lines","Official twitter account of Switzerland's national airline. SWISS in CH @FlySWISS_CH, in the USA @FlySWISS_US, SWISS Cargo @SwissWorldCargo","airline",NA,45950
"Australia","Australia","Tourism Australia's official account. We're also @Australia on Instagram.","other",NA,21845
"GuardianTravel","Guardian Travel","The latest travel news, insider guides, emerging destinations, new hotels and travel trends from the @Guardian. Instagram: guardiantravelsnaps","travel",NA,23792
"BoeingAirplanes","Boeing Airplanes","Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets","travel",NA,44785
"AmericanAir","American Airlines","We're here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline",NA,95268
"ChelseaFC","Chelsea FC","Welcome to the official Twitter account of Chelsea Football Club.","sports",NA,22485
"AirAsia","AirAsia","Welcome to our official Twitter account where we tweet exclusive updates, contests & our low fares all in just 140 characters!","airline",NA,118430
"KingJames","LeBron James","EST. AKRON - ST.V/M Class of '03  http://t.co/IneJylUd1m #IPROMISE","person",NA,42113
"KevinHart4real","Kevin Hart","My name is Kevin Hart and I WORK HARD!!! That pretty much sums me up!!! Everybody Wants To Be Famous But Nobody Wants To Do The Work","",NA,34917
"selenagomez","Selena Gomez","#REVIVAL out NOW. https://t.co/zP4EExdSBG Get The Revival Tour Line: https://t.co/YHbGeHnygg","person",NA,59602
"KoreanAir_KE","Korean Air","Leading Global carrier, a founding member of SkyTeam, operates more than 400 flights per day to 131 cities in 46 countries.","airline",NA,58276
"KrisJenner","Kris Jenner","MOM, MANAGER, MOMAGER, LOVER OF LIFE, LOVER OF CHRIST","person",NA,17780
"kourtneykardash","Kourtney Kardashian","Heartless","person",NA,38844
"davidguetta","David Guetta","Official David Guetta Twitter Page. http://t.co/RMCqdEM9XC","person",NA,27820
"usatodaytravel","USA TODAY Travel","Get the latest travel news, deals and trends about flights, hotels, cruises and destinations from the USA TODAY Travel team.","travel",NA,20256
"ShashiTharoor","Shashi Tharoor","MP for Thiruvananthapuram. Author of 15 books. Former Minister of State,Govt.of India.  Former UnderSecretaryGeneral,UnitedNations. RTs do not imply endorsement","person",NA,18992
"nokia","Nokia","Are you ready for a new era of technology? Join us in expanding the human possibilities of the connected world.","brand",NA,23277
"Xbox","Xbox","Welcome to the official @Xbox Twitter feed, your source for news, console info, game releases, events, sports, & more. For help, please contact @XboxSupport.","brand",NA,21285
"maroon5","Maroon 5","This is the Official Twitter page for Maroon 5
@adamlevine @jamesbvalentine @JRCarmichael and @pjmorton. #V out now! http://t.co/pqyCrYEX2h","person",NA,26450
"ParisHilton","Paris Hilton","My new fragrance #GoldRush is now available  https://t.co/Or93I1Mxuu","person",NA,24840
"FortuneMagazine","Fortune","FORTUNE's official Twitter feed. Here's what we're hearing, seeing, reading and writing. Visit us at http://t.co/EZnUYxNm","channel",NA,20243
"realDonaldTrump","Donald J. Trump","","person",NA,33107
"Boeing","The Boeing Company","Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","travel",NA,40284
"Lufthansa_DE","Deutsche Lufthansa","Das ist der offizielle Lufthansa_DE Twitter-Kanal. Bitte richtet Anregungen, Lob oder Kritik an: https://t.co/GjRy7UfyzU","airline",NA,24220
"KimKardashian","Kim Kardashian West","","person",NA,65991
"JJ_Lin","JJ Lin","Born & bred in Singapore, currently residing in Taiwan. We are all placed on earth to leave imprints on each others' lives.","",NA,19479
"danieltosh","daniel tosh","not a doctor","person",NA,29057
"QantasUSA","Qantas Airways USA","Official Qantas USA. Follow us for USA news & fare sales. Visit https://t.co/2rwl9Mp5h8. For travel q's you may contact @Qantas. We're here Mon-Fri 9am-5pm PST.","airline",NA,33791
"airberlin","airberlin","A warm welcome to the official airberlin Twitter account. Discover the world of airberlin and register now for the airberlin newsletter! https://t.co/tmcNONhGio","airline",NA,19362
"MercedesAMGF1","MERCEDES AMG F1","The official Twitter account of the MERCEDES AMG PETRONAS Formula One Team - 2014 and 2015 Formula One World Champions!","other",NA,20501
"muttons","MuttonsInTheMorning","Muttons In The Morning - Weekdays 6am-10am on Class95FM. Radio geeks. Loves 4-ply tissue.","channel",NA,27621
"SportsCenter","SportsCenter","All things sports. Nominate top plays using #SCtop10. *If you tweet or otherwise send us content, you consent to ESPN using and showcasing it in any media.*","sports",NA,44057
"jtimberlake","Justin Timberlake","","person",NA,73059
"STATravelSG","STA Travel Singapore","The Singapore office of the world's largest (& coolest!) travel company for students and young adults. Like us on Facebook @ http://t.co/e0Otptwr6W!","travel",NA,19489
"RealHughJackman","Hugh Jackman","Instagram: @TheHughJackman","person",NA,24732
"IATA","IATA","The International Air Transport Association (IATA) is the global trade association of airlines. Our 260 members comprise 83% of total air traffic.","travel",NA,30933
"Drake","Drizzy","Views From The 6","person",NA,38229
"justinbieber","Justin Bieber","Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. COLD WATER and LET ME LOVE YOU out now. OUR new album PURPOSE out NOW","person",NA,77193
"Zoella","Zoë","YouTuber, Blogger, Friend & Pizza Addict ","person",NA,25178
"Audi","Audi","The official Twitter account of Audi of America.","brand",NA,24951
"987fm","987","ABOVE THE NOISE. Tweets by @987Sonia / @987Kimberly / @TabithaNauser / @BoyThunder987 / @JoakimGomez","channel",NA,56992
"WorldBank","World Bank","The official World Bank Twitter feed. The World Bank's mission is to fight poverty with passion and professionalism for lasting results.","other",NA,27497
"KAYAK","KAYAK","KAYAK is a travel search engine. For support, visit: http://t.co/dITnoI8o4D (staff available Mon- Fri: 8AM GMT-10PM GMT)","travel",NA,17744
"Pink","P!nk","it's all happening","person",NA,34768
"ABC","ABC News","See the whole picture with @ABC News. Join us on Facebook: https://t.co/ewMNZ54axm","news",NA,38810
"Xiaxue","�� Xiaxue 彡","Bitching now comes in bite-sized pieces","person",NA,65880
"WhiteHouse","The White House","Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr","other",NA,50157
"AirFranceUS","Air France US","#FranceisintheAir! At your service 24/7. Stay connected for our latest news. For media inquiries tweet @AFNewsroom (Personal info by DM only)","airline",NA,19081
"GEAviation","GE Aviation","GE Aviation provides jet and turboprop engines, integrated systems and services for commercial, military and business & general aviation aircraft.","brand",NA,18061
"googlemaps","Google Maps","Photographic dispatches from Planet Earth.","brand",NA,29231
"akshaykumar","Akshay Kumar","","person",NA,38326
"pitbull","Pitbull","Mr. Worldwide. Musician. Entertainer. Entrepreneur.","person",NA,26659
"EconBizFin","The Economist","Official posts from The Economist on Business, Finance and Economics. Subscribe to our Money Talks podcast here https://t.co/3cTKbmDJha","",NA,22878
"LondonCityAir","London City Airport","London City Airport - the true gateway to London","airport",NA,18074
"googledrive","Google Drive","Google Drive is a safe place for all your files. Use Drive for free on all your devices. Visit http://t.co/ReoUx29Gxc to get started.","brand",NA,19542
"khloekardashian","Khloe","Get my official app #unlockmyworld https://t.co/t7gWBbUMY7","",NA,38472
"mtvasia","MTV Asia","Official MTV Asia Twitter Site","",NA,17452
"ParineetiChopra","Parineeti Chopra","Instagram - Parineetichopra. Snapchat - ChopraParineeti","person",NA,31275
"shrutihaasan","shruti haasan","everything in its right place","person",NA,22640
"Gatwick_Airport","Gatwick Airport LGW","We're here 24/7 to answer your questions and help you have a great experience at Gatwick. Follow @LGWobviously for runway 2 news.","airport",NA,27993
"UNICEF","UNICEF","UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.","other",NA,37562
"anandmahindra","anand mahindra","Chairman and Managing Director, Mahindra Group","person",NA,19858
"Sony","Sony","The official Twitter account for Sony in the United States.","brand",NA,26049
"ArianaGrande","Ariana Grande","dangerous woman","person",NA,55801
