"screen_name","name","description","category","X","count"
"Breakfaston1","TVNZ's Breakfast","TVNZ 1's Breakfast show with Hilary Barry and Jack Tame","news",NA,2
"muttons","MuttonsInTheMorning","Muttons In The Morning - Weekdays 6am-10am on Class95FM. Radio geeks. Loves 4-ply tissue.","channel",NA,2
"TEDxSingapore","TEDxSingapore","~ for passion, for people, for purpose. Be authentic, Embrace everyone, Celebrate our possibilities https://t.co/H8PNBSIca0","channel",NA,2
"kulula","kulula","Twitter's most fun South African airline. We'll try answer all tweets between 8am - 5pm, Mon - Friday. Alternatively call us 0861 KULULA (585852).","airline",NA,2
"cala","Ismael Cala","Sitio oficial de Ismael Cala /Tweets escritos por CALA y su team /    Siguenos tambien en @CalaBienestar cuenta de CALA Enterprises Corp.","person",NA,2
"HossanLeong","ALWAYS","Chevalier de l'Ordre des Arts et des Lettres, Creative Consultant, Actor, Host, Standup Comedian, Director. chope@doubleconfirm.sg & Instagram @hossanleong","person",NA,2
"Xiaxue","�� Xiaxue 彡","Bitching now comes in bite-sized pieces","person",NA,2
"showdavida","Fantastico","Este e o twitter oficial do Fantastico, da TV Globo. Aqui voce vai ficar por dentro dos bastidores e novidades do programa e do site.","channel",NA,2
"FireflyAirlines","Firefly Airlines","Firefly's official twitter. Our team is ready to serve you from Mon - Fri from 9am to 5pm (GMT+8). For specific queries, pls email customer_care@fireflyz.com.my","airline",NA,2
"Beyonce","BEYONCÉ","","person",NA,2
"theage","The Age","Australia's leading news service. We're also on Facebook at http://t.co/D7qeFA8NcW","news",NA,2
"TV3nz","TV3 New Zealand","","news",NA,2
"GoToSouthAfrica","SouthAfrican Tourism","The official twitter account for South African Tourism.","other",NA,2
"DHIRAAGU","DHIRAAGU","Dhiraagu offers a comprehensive range of fixed, mobile, Internet and data services throughout the Maldives.","",NA,2
"QueenRania","Rania Al Abdullah","A mum and a wife with a really cool day job الملكة رانيا العبدالله - المملكة الأردنية الهاشمية","person",NA,2
"UNEP","UN Environment","Official Twitter account of the United Nations Environment Programme (UN Environment). Follow our senior leadership: @ErikSolheim & @IbrahimThiaw","",NA,2
"TUIDeutschland","TUI Deutschland","Herzlich Willkommen auf dem offiziellen Twitter-Kanal der TUI Deutschland. #DiscoverYourSmile // Impressum: https://t.co/vJ4Y2n9b2N","travel",NA,2
"herworldsg","Her World Singapore","Her World & https://t.co/NdJ1EioKoA are always at the forefront of fashion, beauty, lifestyle and issues affecting women in Singapore - welcome! :)","channel",NA,2
"DeutscheBank","Deutsche Bank","Information & dialogue on #finance & #economics Netiquette: https://t.co/FvNMEVEdNT #SocialMedia: https://t.co/eElffvJ32b $DB #dbresearch #CIOView","other",NA,2
"LucianoHuck","Luciano Huck","tv host and curious / apresentador de tv e curioso","person",NA,2
"1NEWSBreaking","1 NEWS - Breaking","Breaking News from 1 NEWS","news",NA,2
"theprojecttv","#TheProjectTV","News delivered differently, 6:30 weeknights on @channelten. Join the conversation using #TheProjectTV.","news",NA,2
"ZagatTravel","Zagat Travel","The trusted and premier source for all things related to travel, hotels and spas.","travel",NA,2
"Trevornoah","Trevor Noah","Comedian from South Africa. I was in the crowd when Rafiki held Simba over the edge of the cliff, like an African Michael Jackson.","person",NA,2
"liputan6dotcom","Liputan6.com","Download Apps https://t.co/Tg70sLl3Dc di sini https://t.co/DkBRaoqgmX                  Contact us: socialmedia@liputan6.com","",NA,2
"realwbonner","William Bonner","Sobretudo tio.","",NA,2
"FG_Airlines","FlightGlobal Airline","The global airline community's primary source of insight, knowledge and expertise.","travel",NA,2
"JornalOGlobo","Jornal O Globo","Acompanhe as noticias do jornal O GLOBO","news",NA,2
"mubasherlucman","Mubasher Lucman","Mubasher Lucman is currently on the top of anchorpersons index in Pakistan & specializes in Investigative Journalism. He currently hosts program Khara Sach.","person",NA,2
"AnushkaSharma","Anushka Sharma","","person",NA,2
"rugbyworldcup","Rugby World Cup","The official Twitter channel for Rugby World Cup Limited. #RWC2019","sports",NA,2
"shreyaghoshal","Shreya Ghoshal","A flower child. Sings the tune of love.","person",NA,2
"CNNAfrica","CNN Africa","Highlighting the latest news and buzz from Africa on @CNNI Follow us on Instagram: CNNAfrica","news",NA,2
"LisaSurihani","Lisa Surihani","Malaysian Actor , Host Booking inquiry : Astro Talent Management - ridzwan_ridza@astro.com.my FB : Lisa Surihani (verified) IG : iamlisasurihani (verified)","person",NA,2
"YUVSTRONG12","yuvraj singh","If I can you can !","person",NA,2
"Swamy39","Subramanian Swamy","Rajya Sabha MP, Fmr. Union Cabinet Minister, Harvard Ph.D in Economics; Professor, BJP National Exec. member, I give as good as I get","person",NA,2
"Dawn_News","DawnNews","DawnNews is one of Pakistan's leading news and current affairs television channel that vows to provide its viewers credible news and information.","news",NA,2
"FlyMangoSA","Mango Airlines","SA's loved low cost airline, flying between most major cities in SA and to Zanzibar. We respond between 7am-9pm. Contact: guestcare@flymango.com or 086 100 1234","airline",NA,2
"143redangel","Angel Locsin","Volunteer, Activist, Endorser, Film & Television Actress. Follow me on Instagram at @therealangellocsin","person",NA,2
"gtbank","Guaranty Trust Bank","Open an account, make balance enquiries, buy airtime and do more faster with GTBank USSD Service *737# https://t.co/QVWadmHLh4","brand",NA,2
"DubaiCulture","Dubai Culture","هيئة دبي للثقافة والفنون، هيئة حكومية لدعم، تنظيم، ترويج وقيادة المشهد التراثي والثقافي والفني في إمارة دبي","other",NA,2
"amrkhaled","Amr Khaled","أتواصل معكم يومياً علي صفحتي الشخصية لنشر الخير و الأمل و العمل الصالح . ~ عمرو خالد https://t.co/YJtfj7v8Yo","person",NA,2
"ThoughtCatalog","Thought Catalog","All thinking is relevant.","channel",NA,2
"camanpour","Christiane Amanpour","@CNN Chief International Correspondent and host of @CNNi's nightly global affairs program. Catch it all at http://t.co/BRbf0raeer","person",NA,2
"MTNNG","MTN Nigeria","You're not mistaken...This is the official Twitter account of MTN Nigeria. The Network of Life! :) Need customer support? Tweet at @MTN180","brand",NA,2
"ABCNewsTravel","ABC News Travel","The travel news site of http://t.co/vmHV8V5shZ. Tweets from @gsbrownABC.","travel",NA,2
"imVkohli","Virat Kohli","The Official twitter account of Virat Kohli, Indian cricketer,gamer,car lover,loves soccer and an enthusiast","person",NA,2
"KickAndyShow","Kick Andy Show","90mins Inspirational Talk Show @ Metro TV on Friday 20.05pm & Saturday 13.30pm . Powered by GDIAnalytics, a product of @GDILab","channel",NA,2
"HelsinkiAirport","Helsinki Airport","#Smoothtravelling since 1952. Leading long-haul airport in Northern Europe. Share your pics and thoughts with #helsinkiairport. Happy travels!","airport",NA,2
"STC_KSA","الاتصالات السعودية","تابعنا لمعرفة المزيد عن منتجاتنا وعروضنا، ولتربح الكثير من الهدايا في مسابقاتنا الدائمة | العناية بالعملاء على مدار الساعة @STCcare","brand",NA,2
"ninadobrev","Nina Dobrev","Where ever you go... there you are. Going day by day... so let's see where it takes me! Namaste.","",NA,2
"AirNZFairy","Air NZ Fairy","I'm the Air NZ Fairy! We have a heap of fun on here. Come & join in! xox","channel",NA,2
"ClintonFdn","Clinton Foundation","The Bill, Hillary & Chelsea Clinton Foundation transforms lives and communities from what they are today to what they can be, tomorrow.","other",NA,2
"MOEsg","MOE Singapore","Welcome to the official Twitter page of the Ministry of Education (MOE) Singapore!","brand",NA,2
"dailystarnews","The Daily Star","Bangladesh's largest English Daily. The latest & breaking news, features, analysis and more from @dailystarnews.","news",NA,2
"Citilink","Citilink Indonesia","Welcome to the official Citilink Indonesia Twitter account! For more information & flight info, please call 08041080808 (24 Hours) / info@citilink.co.id","airline",NA,2
"ExpressNewsPK","Express News","Breaking news from Pakistan, including politics, sports, life & style and more - powered by the Express News TV Channel.","news",NA,2
"alrai","الرأي - أخبار الأردن","جريدة يومية عربية سياسية، تصدر عن المؤسسة الصحفية الأردنية، عمان- الأردن للتواصل:  social@alrai.com","news",NA,2
"TwitterEspanol","Twitter en espanol","�Bienvenidos a la cuenta oficial de Twitter en espanol! �Eres nuevo? Empieza aqui https://t.co/SrM5t0nn","channel",NA,2
"realpreityzinta","Preity zinta","Actor, Producer, Writer, Entrepreneur , Human Being and Cricket fan!","person",NA,2
"Singapore_HDB","HDB","Our vision : An outstanding organisation with people committed to fulfilling aspirations for homes and communities all are proud of.","other",NA,2
"ShaneWarne","Shane Warne","A proud father to 3 wonderful teenagers. Played cricket. Now cricket commentary. Cricket All Stars owner. Poker player & lover of 80's music. Single/Australian","person",NA,2
"BrusselsAirport","Brussels Airport","Welcome! We are the heart of Europe, serving 23.5 million passengers per year. At your service 8 am - 8 pm CET in English, Dutch and French.","airport",NA,2
"msdhoni","Mahendra Singh Dhoni","Member TEAM INDIA, Biker, Gamer, hindi retro aficionado, an absolute pet-lover and perennially hungry for chicken butter masala","person",NA,2
"harbhajan_singh","Harbhajan Turbanator","Proud father to a princess, Indian Cricketer. 
Facebook: https://t.co/t7La7Gcge7
Instagram: https://t.co/FfW5XFD3k8","person",NA,2
"WOOLWORTHS_SA","Woolworths SA","We're a passionate South African retailer dedicated to bringing you quality, style & value for the last 80 years. Chat to us on Twitter: 9am - 5pm, Mon - Sun.","brand",NA,2
"AirlinesDotOrg","Airlines for America","Airlines for America (A4A) is the industry trade organization for the leading U.S. airlines.","travel",NA,2
"sonakshisinha","Sonakshi Sinha","Shotgun Junior! Instagram: aslisona, Snapchat: aslisonasnap","person",NA,2
"Jemima_Khan","Jemima Goldsmith","A toe in the water. Now I'm up to my neck. Instagram: khanjemima","person",NA,2
"FlyingBrussels","Brussels Airlines","Our social media team is at your service for all questions regarding your Brussels Airlines flight.","airline",NA,2
"kasimf","فيصل القاسم","الصفحة الرسمية لمقدم برنامج الاتجاه المعاكس بقناة الجزيرة. آرائي وتغريداتي هنا شخصية بحتة. والريتويت لا يعني بالضرورة التبني.صفحتي على فيسبوك:falkasim","",NA,2
"AviationTimes","Aviation Times","The official Twitter account of Aviation Times Magazine. All tweets by Alexis Dames @NASA Fan #Orion EFT-1, #STS-134 & #Juno #liberenaleopoldo #NASASocial","travel",NA,2
"KPK_RI","KPK","Twitter resmi yang dikelola Biro Humas Komisi Pemberantasan Korupsi. #KanalKPK http://t.co/ivxjiWPNHG #ACCH http://t.co/ocz9kfMD2J #KWS http://t.co/9cwZLZiWhE","",NA,2
"EFEnoticias","EFE Noticias","Perfil oficial de la Agencia EFE, la primera agencia de noticias en espanol y la cuarta del mundo. Otros perfiles https://t.co/HcAGHRI7Mp","news",NA,2
"infoBMKG","BMKG","Official Twitter of BMKG Indonesia - Twitter resmi BMKG - Informasi Cuaca, Iklim dan Gempa bumi di Indonesia - Badan Meteorologi Klimatologi dan Geofisika.","other",NA,2
"THISDAYLIVE","THISDAY LIVE","African Views on Global News","news",NA,2
"SoSingaporean","So Singaporean","Follow to discover everything so unique and #sosingaporean! For any enquiries and adverts kindly contact me at: sosingaporean.twitter@gmail.com","person",NA,2
"nico_rosberg","Nico Rosberg","Mercedes AMG F1 Silver Arrow Driver - Silberpfeil F1 Pilot","",NA,2
"LilTunechi","Lil Wayne WEEZY F","IM YOUNG MONEY http://t.co/wMwkyzCu","person",NA,2
"flySAA_US","SouthAfricanAirways","Welcome to South African Airways' official Twitter desk in North America! We tweet from 9am to 8pm ET, M-F, and we love feedback: http://t.co/UTwlTGj4do","airline",NA,2
"iamkarendavila","Karen Davila","Broadcast Journalist, ABSCBN. Advocate. Young Global Leader, World Economic Forum","person",NA,2
"QueenNoor","Noor Al Hussein","faithful child of Abraham, idealistic global citizen/public servant in perpetual motion and proud mother;author:'Leap of Faith'","person",NA,2
"zizanrajalawak","zizan razak","http://t.co/Xdk8ZNgsvz.Host.Rapper.Producer. Also love & appreciate my fans! TQ!!","person",NA,2
"ashabhosle","ashabhosle","Singer since 1943","person",NA,2
"PTIofficial","PTI","Official twitter account of Pakistan Tehreek-e-Insaf. Support the fight against corruption & make your contribution by donating at https://t.co/xo3qCdRqek","",NA,2
"davidwarner31","David Warner","Australian cricketer, enjoys life, loves golf, keen interest in horse racing. Husband to Candice, father of two beautiful girls Ivy Mae, Indi Rae.","person",NA,2
"Garuda_Promo","PT Garuda Indonesia","Official Garuda Indonesia Airline's twitter account for PROMO/Discounts Ticket. For other information please follow @indonesiagaruda","airline",NA,2
"dilmabr","Dilma Rousseff","Twitter de Dilma Rousseff, presidenta eleita do Brasil","person",NA,2
"711SEJ","セブン-イレブン・ジャパン","セブン-イレブン公式アカウント。商品やセール・�i��ンペーン情S�等をツイートしていきます！��店舗、商品に関するお問合せは下記窓口へお願い致します。https://t.co/52MoaYtM9G 0120-711-372(平日9時～17時30n�) ソーシャルメディアのn�用規約 https://t.co/oHOEEyAMmZ","brand",NA,2
"Expo2015Milano","Expo Milano 2015","#EXPO2015 Feeding the Planet, Energy for Life | 184 days of events, over 140 Countries, 20 mln visitors | 1st May - 31st October 2015 Share us!","other",NA,2
"sachin_rt","sachin tendulkar","Proud Indian","person",NA,2
"Carles5puyol","Carles Puyol","Carles Puyol , born in La Pobla de Segur on April 13th, 1978. My facebook is https://t.co/DLpsEVGi9B","",NA,2
"flysaa","SAA - South Africa","The home of South African Airways - Africa's Most Awarded Airline. https://t.co/5XGV0j6SvX we tweet from 8am to 5pm and we love feedback.","airline",NA,2
"CMShehbaz","Shehbaz Sharif","This account is run by Chief Minister's Office. Tweets from Shehbaz Sharif are signed -ss","other",NA,2
"CFKArgentina","Cristina Kirchner","Cristina Fernandez de Kirchner, militante peronista, Presidenta mandato cumplido. https://t.co/nipyQap4ny https://t.co/Kg9Er9WTpH","person",NA,2
"ABdeVilliers17","AB de Villiers","Professional Cricket player
Proudly South African","person",NA,2
"MirandaKerr","Miranda Kerr","This is the official Miranda Kerr twitter account. Enjoy xxx","person",NA,2
"GloboNews","GloboNews","O mundo esta aqui.","news",NA,2
"ameesha_patel","ameesha patel","Real person first actor later. follow me on Instagram Ameeshapatel9","person",NA,2
"Sah75official","Shakib Al Hasan","professional cricket player","person",NA,2
"STPix","Straits Times Photo","The Straits Times Photo Desk See news pictures, photo essays, and multimedia stories produced by our photojournalists at http://t.co/eGknlnhg8t","news",NA,2
"dhanushkraja","Dhanush","Actor","person",NA,2
"OoredooMaldives","Ooredoo Maldives","Life's best moments are best shared on Ooredoo, the best network for your smartphone.","",NA,2
"bukolasaraki","Bukola Saraki","Senate President and Chairman of the 8th National Assembly, Federal Republic of Nigeria. Committed to Transparency and Accountability.","news",NA,2
"Fake_PMLee","Fake PM Lee","Really? I need one?","person",NA,2
"aeroflot","Аэрофлот","Пожалуйста,не публикуйте персональные данные в общем доступе(��брони,билета,карты АФЛ Бонус).Направляйте отзывы и пожелания через форму обратной связи на сайте","brand",NA,2
"govph","Official Gazette PH","The Official Gazette is the official journal of the Republic of the Philippines, edited in the Office of the President of the Philippines.","person",NA,2
"BancoMundialLAC","BancoMundial ALatina","Banco Mundial para #America Latina y el #Caribe. Unete a la conversacion sobre temas claves para el #desarrollo de la region.","other",NA,2
"atiku","Atiku Abubakar","Turaki Adamawa, former Vice President of Nigeria, a dad, businessman and philanthropist.","person",NA,2
"OfficialSLC","Sri Lanka Cricket","The Official Home of Sri Lanka Cricket","sports",NA,2
"DublinAirport","Dublin Airport","Dublin Airport's award-winning Twitter feed. Tel 353 1 8141111 For customer queries, please tweet @askDUBairport","airport",NA,2
"thetblogger","Travel Blogger .com","The Travel Blogger posts links to travel news, information and destinations. Editor: @bcmurray","travel",NA,2
"Harry_Styles","Harry Styles.","Raconteur.  https://t.co/gtTGAbq5KP","person",NA,2
"UKenyatta","Uhuru Kenyatta","President of The Republic of Kenya.","person",NA,2
"CTNurhaliza11","Siti Nurhaliza","A LIFE that feels good on the inside ..not one that just looks good on the outside","person",NA,2
"DepEd_PH","DepEd","The executive agency for basic education of the Republic of the Philippines. For questions, concerns, & complaints, email us at action@deped.gov.ph","brand",NA,2
"nhk_news","NHKニュース","NHKニュースの公式アカウントです。最新のニュースを24時間l�みなくお届けします。 http://t.co/Q11WanxIUh をご確認、ご了承ください。問い合わせは http://t.co/QHu5wdeNyR","news",NA,2
"ProthomAlo","Prothom Alo","The Daily Prothom Alo, worlds' number 1 Bengali news portal. Follow us for real time news & updates at http://t.co/c504mSzQ0z #ProthomAlo","news",NA,2
"HamidMirGEO","Hamid Mir","Journalist and Author not Anchor","person",NA,2
"HitamPutihT7","Hitam Putih Trans|7","Official Twitter Account dari Talkshow Inspiratif dipandu oleh Deddy Corbuzier. Tayang Senin - Jum'at 18.00 WIB. E-mail : hitamputiht7@gmail.com","news",NA,2
"MadhuriDixit","Madhuri Dixit-Nene","Constantly finding ways to connect with the world. Loving the Twitter Universe!","person",NA,2
"sunbrk","sun.mv","Sun Online delivers the latest breaking news and information from Maldives and around the world.","news",NA,2
"MyDowntownDubai","Downtown Dubai","Home to Burj Khalifa, The Dubai Fountain and The Dubai Mall. Follow us and keep up to date with all the beauty and events Downtown Dubai has to offer.","",NA,2
"RoyalJordanian","Royal Jordanian","Welcome to the official Twitter channel of Royal Jordanian, your instant source of news, updates and information about Jordan's National Carrier.","news",NA,2
"inecnigeria","INEC Nigeria","Independent National Electoral Commission Hotline: 0700-CALL-INEC i.e. 070022554632 | Email: iccc@inec.gov.ng | Instagram: http://t.co/tCiR9Wjwra","other",NA,2
"Persie_Official","Robin van Persie","@Fenerbahce","",NA,2
"Notebook","The Notebook","advertising: talk.instagram@gmail.com","",NA,2
"YTCreators","YouTube Creators","#ContentGoals","channel",NA,2
"karlstefanovic","Karl Stefanovic","Today Show Australia, 60 minutes contributor, 5 year old bmx champion","news",NA,2
"DrWaheedH","Mohamed Waheed","Immediate Past President of Maldives. (https://t.co/34QGLx7wUd)","person",NA,2
"enjoyGLOBE","Globe Telecom","Create moments that take your breath away. Create your mark through stories told and memories shared. Create. Wonderful. And #ShareYourStory.","brand",NA,2
"RoyaTV","رؤيا","قناة رؤيا، نقدم لكم برامج متنوعة Nilesat 12398 V @RoyaNews @RoyaNewsEnglish @donyayadonya @royasports @RoyaJordanStar @Caravanroya","news",NA,2
"DrBassemYoussef","Dr Bassem Youssef","instagram: https://t.co/mtJB6EpAQJ check the official facebook page below","person",NA,2
"Kantei_Saigai","首相官邸(災害・危機管理情S�)","本アカウントは首相官邸の公式アカウントです。 首相官邸から災害・危機管理関連の政府活動情S�をお届けいたします。","other",NA,2
"xtina","Christina Aguilera","","person",NA,2
"Talhabeeb","أ. د. طارق الحبيب","بروفيسور واستشاري الطب النفسي . الأمين العام لإتحاد الأطباء النفسيين العرب . snapshat : / t.alhabeeb","",NA,2
"RNTata2000","Ratan N. Tata","Former Chairman of Tata Group. Personal interests : - aviation, automobiles, scuba diving and architectural design.","person",NA,2
"SaudiMOH","وزارة الصحة السعودية","تتمثل رؤية وزارة الصحة في تحقيق الصحة بمفهومها الشامل وعلى كل المستويات للفرد و الأسرة والمجتمع مع العمل على مساعدة المسنين و ذوي الاحتياجات الخاصة بما يمكنهم.","other",NA,2
"JarirBookstore","مكتبة جرير","يسعدنا الإجابة عن أسئلتكم واستفساراتكم هنا. كما يمكنكم التواصل معنا على 920000089","brand",NA,2
"RailaOdinga","Raila Odinga","This is the official account of Rt. Hon Raila A Odinga, run by his media team. Personal tweets will be signed RAO.","person",NA,2
"youm7","اليوم السابع","الحساب الرسمى لجريدة اليوم السابع علي تويتر..الموقع الاخباري الاول في مصر والشرق الاوسط to be updated with latest news from egypt & middle east follow @youm7","news",NA,2
"eNCA","eNCA","eNCA and https://t.co/Ue6MDAVM9j are 24-hour news channels focusing on news from across South Africa and the continent. @DStv 403, Facebook and IG: encanews","news",NA,2
"PDChina","People's Daily,China","The largest newspaper group in China; Timely updates 
https://t.co/GjIOtXvfA2 https://t.co/nCvfm8gTgr","news",NA,2
"ANA_flight_info","ＡＮＡ運航の見通し情S�","s�n�線・s�際線の運航の見通し情S�（気象状況等から予測される当日・翌日の運航情S�）の配信、及び運航情S�に関するお問い合わせにお答えするサポートサービスを提供します。返信にはお時間をいただくS�合もございます。また、台風等でお問い合わせが多いS�合は個n�の対応ができないこともございます。各便の運航情S�は発着案n�をご覧ください。","airline",NA,2
"BCBtigers","Bangladesh Cricket","The Official Twitter of Bangladesh Cricket. News, Updates and Live Score. #riseofthetigers","sports",NA,2
"SaudiMCI","التجارة والاستثمار","وزارة التجارة والاستثمار في المملكة العربية السعودية - مركز بلاغات المستهلك: 1900 - مركز اتصال الأعمال: 920000667","other",NA,2
"SonnyBWilliams","Sonny Bill Williams","Proud husband and father, Forever grateful to the most high. No-facebook No-Instagram","person",NA,2
"hmsingapore","H&M Singapore","Fashion and quality at the best price.","brand",NA,2
"MIRAmaldives","MIRA","Official Twitter account of the Maldives Inland Revenue Authority (MIRA). H: 1415, E: 1415@mira.gov.mv","",NA,2
"RoyaNews","Roya News","صفحة اخبارية تتبع لقناة رؤيا الفضائية، تنشر أحدث الاخبار المحلية، العربية والعالمية على مدار الساعة، وتستقبل الاخبار من المواطنين @RoyaTV","news",NA,2
"ABZayed","عبدالله بن زايد","حساب شخصي","person",NA,2
"HashKSA","هاشتاق السعودية","الحساب الرسمي لـ هاشتاق السعودية |جوالنا المجاني والخاص بأخبار تويتر علىSTCأرسل 1 إلى 808888 |سفير #نبراس https://t.co/mM27JkbOIA | للتواصل: HashKSA@smaat.co","person",NA,2
"Guaje7Villa","David Villa","Jugador del @NYCFC / @NYCFCEspanol","person",NA,2
"ShkhRasheed","Sheikh Rashid Ahmad","Sheikh Rashid Ahmad, chief of Awami Muslim league,ex federal minister,and now member of national assembly Pakistan.RTs/retweets are not endorsement","person",NA,2
"Asad_Umar","Asad Umar","Ex naukri pesha mazdoor, Member of PTI and above all a citizen of Pakistan https://t.co/WfjPgUYpHR","person",NA,2
"amlahash","hashim amla","Dig for truth..not gold. Curiosity skilled the cat. Beards are the new six pack. No facebook - No instagram","person",NA,2
"SaudiNews50","أخبار السعودية","الحساب الرسمي لـ أخبار السعودية.. سناب شات: https://t.co/pxOI9HtZe8 تيليجرام: https://t.co/5y2aETUILT للتواصل: info@saudinews50.co","news",NA,2
"Raajje_tv","RaajjeTV","One & only 24hours TV station in the Maldives. Fax: +(960) tel +(960) 3007773,3007771, https://t.co/uCD3EzqNDx | https://t.co/np2CBkNbZE","news",NA,2
"MohamedNasheed","Mohamed Nasheed","Maldives' first democratically-elected President, Amnesty Intl's Prisoner of Conscience, UN's Champion of the Earth, Newsweek's World's 10 Best Leaders","person",NA,2
"bankofmaldives","Bank of Maldives","Bank of Maldives is proud to be the only local bank, serving the nation through the largest banking network reaching virtually every citizen in the country.","other",NA,2
"wizzair","wizzair.com","Welcome to the official twitter channel of WIZZ! Call centre: http://t.co/6bdl6KRb5v CS webmail: http://t.co/E47N2HWVmy","airline",NA,2
"P_Musharraf","Pervez Musharraf","General Pervez Musharraf, Former President of Pakistan.This account is run by the Office of General Pervez Musharraf. Tweets by General Musharraf are signed PM.","person",NA,2
"SkyFootball","Sky Football ️","The official account for Sky Sports Football","sports",NA,2
"psy_oppa","PSY","#7thALBUM on iTunes https://t.co/9oXqUb7l9M #DADDY M/V on YouTube https://t.co/3SgevEYdt4 #NapalBaji M/V on YouTube https://t.co/3gLItsxkW0","person",NA,2
"dubaitourism","Dubai Tourism","Welcome to the official account of Dubai's Department of Tourism and Commerce Marketing.","other",NA,2
"TheJohnAbraham","John Abraham","Actor","person",NA,2
"PresRajapaksa","Mahinda Rajapaksa","The Official Twitter Account of the former President of Sri Lanka Mahinda Rajapaksa.","person",NA,2
"AsimBajwaISPR","Gen Asim Bajwa","Director General ISPR. Tweets do not necessarily reflect policy of the organization https://t.co/XWcHnteSVs /","person",NA,2
"ISPR_Official","ISPR","This is Official Twitter Account of Inter Services Public Relations (ISPR) Our Official FB Page is: https://t.co/oVx8jBrwjM","",NA,2
"Manuel_Neuer","Manuel Neuer","Hier twittere ich Themen zum FC Bayern, der Nationalmannschaft und vieles mehr rund um den FuBball.","person",NA,2
"rogerfederer","Roger Federer","Professional tennis player","person",NA,2
"AmitShah","Amit Shah","National President of Bharatiya Janata Party","person",NA,2
"ANA_travel_info","ANA旅のつぶやき【公式】","ANAの公式Twitterアカウントです飛行機や風景n�真、おトク情S�など旅に出たくなる情S�を毎日ゆる～くお届けしています なお、いただいたコメントへのz�返事はいたしか�i��す。ご了承ください。 【ANAソーシャルメディアn�用規約】http://t.co/T4GUULqqTm","airline",NA,2
"esmuellert_","Thomas Muller","Offizieller Twitter-Account von FuBball-Nationalspieler Thomas Muller #esmuellert Impressum: https://t.co/ZBZrlXNNq0","person",NA,2
"JAL_Official_jp","JAPAN AIRLINES【JAL】","JAL（日本航空）の「今」をおl�えする公式アカウントです！「誰かに話したくなっちゃう！」そんなJALのおz�情S�や航空業界の裏話を、新入社員の「ももえり」が日々つぶきます��リプライへのお返事はいたしか�i��すのでご了承ください。��JALソーシャルメディアn�用規約https://t.co/iczxqc2kFg","airline",NA,2
"RashtrapatiBhvn","President of India","This is the official Twitter account of Rashtrapati Bhavan and is run by President's Secretariat. Tweets from the President are signed - President Mukherjee","person",NA,2
"ProfOsinbajo","Prof Yemi Osinbajo","Official handle for Professor Yemi Osinbajo, SAN, Nigeria's Vice President. Tweets by him are signed YO","person",NA,2
"MaithripalaS","Maithripala Sirisena","Official Twitter account of Maithripala Sirisena, the President of Sri Lanka.","person",NA,2
"MarketWatch","MarketWatch","News, personal finance & commentary from MarketWatch. Tweets by @SAFmedia, @jessmarmor, @slangwise.","channel",NA,1
"anwaribrahim","Anwar Ibrahim","Prisoner of Conscience","person",NA,1
"FRANCE24","FRANCE 24","International News 24/7 in your language: @France24_fr - @France24_en - @France24_ar Contact us: https://t.co/ZaaXsh7FeN Mobile: https://t.co/gq0PUBNwJx","news",NA,1
"Expressen","Expressen","Har berattar vi om https://t.co/tOixQW8HJn - Ansvarig utgivare ar @ThomasMattsson - Ett officiellt konto fran AB Kvallstidningen Expressen","news",NA,1
"Publico","Publico","Estamos onde estao as noticias. Estamos onde estao os leitores.","news",NA,1
"SBS","SBS Australia","The best of SBS entertainment, sport, drama, news, documentaries & more. Celebrating the world's diverse stories. #ForTheLoveOfMeat starts Thurs 20th Oct 7.30pm","channel",NA,1
"20Minutes","20 Minutes","Information en continu. Actualites, Politique, Sport, People, High Tech / Sur Facebook : http://t.co/39vntgKz","news",NA,1
"FastCompany","Fast Company","Official Twitter feed for the Fast Company business media brand; inspiring readers to think beyond traditional boundaries & create the future of business.","brand",NA,1
"EPN","Enrique Pena Nieto","Presidente de los Estados Unidos Mexicanos. https://t.co/zYLzwNVTrO https://t.co/P5BlmQmr9G","person",NA,1
"latercera","La Tercera","El Chile que somos. Noticias, conversacion, opinion y otros contenidos destacados.","news",NA,1
"Greenpeace","Greenpeace","We're an independent global campaigning organisation acting to change attitudes and behaviour, to protect the environment and promote peace.","other",NA,1
"earthquake_jp","地震速S�","[BOT]警戒：震度1以上 もしくは M3以上の地震情S�を提供しています。 s�本的に返事は行いません。問い合わせは@ariela もしくはyuki at http://t.co/4GuGRNrcx8にどうぞ。 非公式RTを繰り返すBOTはブ�i��クします。","other",NA,1
"eliodirupo","Elio Di Rupo","President du PS � Bourgmestre de Mons - Voorzitter van de PS � Burgemeester van Bergen","person",NA,1
"nima","Nima Akbarpour نیما","Presenter of #Technology Show @PersianClick on @BBCPersian TV RT NOT endorsement نیما اکبرپور، مجری برنامه #فناوری کلیک در تلویزیون بی��بی��سی فارسی","person",NA,1
"houseoftravel","House of Travel","We believe that the best holidays are created together. Bring your research & ideas in to us so together we can design a holiday that is just right for you.","travel",NA,1
"NPR","NPR","News. Arts & Life. Music. Everything and more from NPR.","news",NA,1
"Princeton","Princeton University","The official Twitter account of Princeton University. Use #PrincetonU to join the conversation!","other",NA,1
"Yale","Yale University","News, events and updates from Yale University.","other",NA,1
